state,action,q_value
0_4_True_0.64_1_0.92_3_0.12,Next,3.02
0_4_True_0.64_1_0.92_3_0.12,Previous,0.0
0_4_True_0.64_1_0.92_3_0.12,Stay,0.0
0_4_True_0.64_1_0.92_3_0.12,Go_to_high_level,0.0
0_4_True_0.64_1_0.92_3_0.12,Go_to_low_level,0.0
0_4_True_0.68_1_0.77_7_0.25,Next,0.0
0_4_True_0.68_1_0.77_7_0.25,Previous,0.0
0_4_True_0.68_1_0.77_7_0.25,Stay,2.0
0_4_True_0.68_1_0.77_7_0.25,Go_to_high_level,0.0
0_4_True_0.68_1_0.77_7_0.25,Go_to_low_level,0.0
0_1_False_nan_0_0.27_0_0.38,Next,3.0
0_1_False_nan_0_0.27_0_0.38,Previous,0.0
0_1_False_nan_0_0.27_0_0.38,Stay,0.0
0_1_False_nan_0_0.27_0_0.38,Go_to_high_level,0.0
0_1_False_nan_0_0.27_0_0.38,Go_to_low_level,0.0
0_2_True_0.79_2_0.40_5_0.50,Next,1.5
0_2_True_0.79_2_0.40_5_0.50,Previous,0.0
0_2_True_0.79_2_0.40_5_0.50,Stay,0.0
0_2_True_0.79_2_0.40_5_0.50,Go_to_high_level,0.0
0_2_True_0.79_2_0.40_5_0.50,Go_to_low_level,0.0
0_2_True_0.73_1_0.45_1_0.62,Next,3.0
0_2_True_0.73_1_0.45_1_0.62,Previous,0.0
0_2_True_0.73_1_0.45_1_0.62,Stay,0.0
0_2_True_0.73_1_0.45_1_0.62,Go_to_high_level,0.0
0_2_True_0.73_1_0.45_1_0.62,Go_to_low_level,0.0
0_3_True_0.67_3_0.48_2_0.75,Next,3.0
0_3_True_0.67_3_0.48_2_0.75,Previous,0.0
0_3_True_0.67_3_0.48_2_0.75,Stay,0.0
0_3_True_0.67_3_0.48_2_0.75,Go_to_high_level,0.0
0_3_True_0.67_3_0.48_2_0.75,Go_to_low_level,0.0
0_1_False_nan_0_0.45_4_0.88,Next,8.0
0_1_False_nan_0_0.45_4_0.88,Previous,0.0
0_1_False_nan_0_0.45_4_0.88,Stay,0.0
0_1_False_nan_0_0.45_4_0.88,Go_to_high_level,0.0
0_1_False_nan_0_0.45_4_0.88,Go_to_low_level,0.0
0_4_True_0.60_1_0.53_3_0.12,Next,3.0500000000000003
0_4_True_0.60_1_0.53_3_0.12,Previous,0.0
0_4_True_0.60_1_0.53_3_0.12,Stay,0.0
0_4_True_0.60_1_0.53_3_0.12,Go_to_high_level,0.0
0_4_True_0.60_1_0.53_3_0.12,Go_to_low_level,0.0
0_2_True_0.70_3_0.85_5_0.25,Next,3.0
0_2_True_0.70_3_0.85_5_0.25,Previous,0.0
0_2_True_0.70_3_0.85_5_0.25,Stay,0.0
0_2_True_0.70_3_0.85_5_0.25,Go_to_high_level,0.0
0_2_True_0.70_3_0.85_5_0.25,Go_to_low_level,0.0
0_3_True_0.66_3_0.63_6_0.38,Next,2.0
0_3_True_0.66_3_0.63_6_0.38,Previous,0.0
0_3_True_0.66_3_0.63_6_0.38,Stay,0.0
0_3_True_0.66_3_0.63_6_0.38,Go_to_high_level,0.0
0_3_True_0.66_3_0.63_6_0.38,Go_to_low_level,0.0
0_1_False_nan_0_0.22_0_0.50,Next,3.0
0_1_False_nan_0_0.22_0_0.50,Previous,0.0
0_1_False_nan_0_0.22_0_0.50,Stay,0.0
0_1_False_nan_0_0.22_0_0.50,Go_to_high_level,0.0
0_1_False_nan_0_0.22_0_0.50,Go_to_low_level,0.0
0_3_True_0.69_3_0.70_2_0.62,Next,3.0
0_3_True_0.69_3_0.70_2_0.62,Previous,0.0
0_3_True_0.69_3_0.70_2_0.62,Stay,0.0
0_3_True_0.69_3_0.70_2_0.62,Go_to_high_level,0.0
0_3_True_0.69_3_0.70_2_0.62,Go_to_low_level,0.0
0_1_False_nan_0_0.35_4_0.75,Next,2.0
0_1_False_nan_0_0.35_4_0.75,Previous,0.0
0_1_False_nan_0_0.35_4_0.75,Stay,0.0
0_1_False_nan_0_0.35_4_0.75,Go_to_high_level,0.0
0_1_False_nan_0_0.35_4_0.75,Go_to_low_level,0.0
0_2_True_0.77_2_0.47_1_0.88,Next,3.4391539
0_2_True_0.77_2_0.47_1_0.88,Previous,0.0
0_2_True_0.77_2_0.47_1_0.88,Stay,0.0
0_2_True_0.77_2_0.47_1_0.88,Go_to_high_level,0.0
0_2_True_0.77_2_0.47_1_0.88,Go_to_low_level,0.0
0_4_True_0.67_1_0.37_3_0.88,Next,0.0032489999999999854
0_4_True_0.67_1_0.37_3_0.88,Previous,0.0
0_4_True_0.67_1_0.37_3_0.88,Stay,-0.29829
0_4_True_0.67_1_0.37_3_0.88,Go_to_high_level,0.0
0_4_True_0.67_1_0.37_3_0.88,Go_to_low_level,0.0
0_4_True_0.67_1_0.87_3_0.88,Next,0.03438999999999984
0_4_True_0.67_1_0.87_3_0.88,Previous,0.0
0_4_True_0.67_1_0.87_3_0.88,Stay,0.0
0_4_True_0.67_1_0.87_3_0.88,Go_to_high_level,0.0
0_4_True_0.67_1_0.87_3_0.88,Go_to_low_level,0.0
1_4_True_0.49_2_1.00_7_0.12,Next,0.0
1_4_True_0.49_2_1.00_7_0.12,Previous,0.0
1_4_True_0.49_2_1.00_7_0.12,Stay,2.025
1_4_True_0.49_2_1.00_7_0.12,Go_to_high_level,0.0
1_4_True_0.49_2_1.00_7_0.12,Go_to_low_level,0.0
1_4_True_0.54_3_1.00_3_0.25,Next,0.0
1_4_True_0.54_3_1.00_3_0.25,Previous,0.0
1_4_True_0.54_3_1.00_3_0.25,Stay,2.0300000000000002
1_4_True_0.54_3_1.00_3_0.25,Go_to_high_level,0.0
1_4_True_0.54_3_1.00_3_0.25,Go_to_low_level,0.0
1_3_True_0.60_2_0.92_2_0.38,Next,0.015000000000000013
1_3_True_0.60_2_0.92_2_0.38,Previous,0.0
1_3_True_0.60_2_0.92_2_0.38,Stay,0.0
1_3_True_0.60_2_0.92_2_0.38,Go_to_high_level,0.0
1_3_True_0.60_2_0.92_2_0.38,Go_to_low_level,0.0
1_3_True_0.63_1_0.32_2_0.38,Next,3.0
1_3_True_0.63_1_0.32_2_0.38,Previous,0.0
