state,action,q_value
2_2_True_0.46_2_0.53_1,Stay,-0.30000000000000004
2_2_True_0.44_1_1.00_1,Stay,-1.6596403030000002
2_2_True_0.29_2_0.73_1,Go_to_high_level,0.28500000000000003
2_2_True_0.44_1_0.73_1,Next,0.0
2_2_True_0.21_2_0.92_1,Stay,-0.30000000000000004
2_2_True_0.19_2_0.55_1,Go_to_low_level,-0.040000000000000036
2_2_True_0.35_1_1.00_1,Previous,-0.66252
2_2_True_0.19_3_1.00_1,Go_to_low_level,0.0
2_1_False_nan_0_0.47_0,Next,2.620476203
2_1_False_nan_0_0.47_0,Previous,0.0
2_1_False_nan_0_0.57_0,Go_to_high_level,2.05856821173
2_2_True_0.60_3_0.85_1,Go_to_low_level,-0.2
2_2_True_0.57_3_0.48_1,Go_to_high_level,0.0
2_2_True_0.56_2_0.30_1,Previous,-0.15000000000000008
2_2_True_0.61_3_0.25_1,Next,0.0
2_2_True_0.44_2_0.30_1,Previous,-0.11999999999999998
2_2_True_0.52_2_0.73_1,Go_to_low_level,0.0
2_1_False_nan_0_0.52_0,Previous,-0.18
2_1_False_nan_0_0.52_0,Next,2.315795
2_1_False_nan_0_0.52_0,Go_to_high_level,0.3063
2_1_False_nan_0_0.48_0,Go_to_high_level,2.2003285449507444
2_1_False_nan_0_0.48_0,Stay,0.013499999999999998
2_2_True_0.44_2_0.80_1,Stay,-0.12999999999999998
2_2_True_0.37_2_0.95_1,Go_to_high_level,0.16999999999999998
2_2_True_0.47_3_0.93_1,Go_to_high_level,0.09999999999999998
2_2_True_0.57_1_1.00_1,Go_to_high_level,0.0
2_2_True_0.32_3_0.57_1,Stay,0.05999999999999997
2_2_True_0.58_1_1.00_1,Go_to_high_level,0.0
2_2_True_0.33_2_0.67_1,Go_to_high_level,0.13
2_2_True_0.46_1_1.00_1,Previous,-0.34824368368257497
2_2_True_0.46_3_0.38_1,Go_to_low_level,-0.42500000000000016
2_2_True_0.45_3_0.80_1,Stay,-0.09999999999999996
2_2_True_0.55_1_0.80_1,Stay,-0.2
2_1_False_nan_0_0.35_0,Go_to_low_level,0.02075537520000001
2_1_False_nan_0_0.35_0,Previous,0.0
2_2_True_0.53_3_0.70_1,Next,-0.018000000000000002
1_3_True_0.52_3_0.70_5,Go_to_high_level,0.0
1_2_True_0.48_3_0.27_3,Previous,0.0
1_3_True_0.41_1_0.42_5,Go_to_high_level,0.0
1_1_False_nan_0_0.20_0,Stay,0.0
1_3_True_0.43_3_0.35_5,Previous,0.030000000000000027
1_2_True_0.46_2_0.90_4,Previous,0.08000000000000002
1_3_True_0.54_3_0.47_5,Go_to_high_level,0.10999999999999999
1_2_True_0.65_1_0.83_3,Next,0.0
1_2_True_0.48_2_0.20_3,Go_to_high_level,0.16000000000000003
1_2_True_0.64_2_0.97_4,Go_to_low_level,0.0
1_3_True_0.62_1_0.62_5,Stay,-0.30000000000000004
1_3_True_0.36_3_0.72_5,Go_to_low_level,-0.04999999999999998
0_2_True_0.92_1_0.27_3,Next,0.5
0_3_True_0.69_2_0.82_5,Next,0.07000000000000006
0_2_True_0.76_2_0.50_4,Go_to_high_level,0.0
2_2_True_0.35_3_0.32_1,Stay,-0.30000000000000004
2_2_True_0.34_1_0.68_1,Go_to_low_level,-0.22000000000000006
2_2_True_0.24_3_1.00_1,Go_to_high_level,0.10000000000000005
2_2_True_0.34_2_0.37_1,Stay,-0.13999999999999999
2_2_True_0.40_3_1.00_1,Stay,-0.2
2_2_True_0.40_3_1.00_1,Next,0.030969567000000003
2_1_False_nan_0_0.30_0,Go_to_high_level,1.2122103000000002
2_2_True_0.48_1_1.00_1,Stay,-0.81053922
2_2_True_0.31_1_0.40_1,Go_to_low_level,-0.11999999999999998
2_2_True_0.39_2_0.32_1,Next,0.0
