userid,courseid,avg_time_per_quiz,avg_resource_views_per_day,quiz_success_rate,avg_quiz_score,resource_vs_quiz_ratio,cluster
5,5,18.94,13.22,0.74,2.0,4.87,0
4,5,23.68,9.25,0.65,2.05,4.22,0
7,5,24.0,11.49,0.76,1.77,4.84,1
8,5,25.74,12.47,0.79,1.76,4.38,1
9,5,20.89,9.7,0.78,2.14,4.72,0
10,5,27.6,9.41,0.71,1.95,4.25,1
11,5,21.56,10.22,0.81,1.85,4.67,0
12,5,27.29,11.38,0.72,1.72,4.26,1
13,5,25.79,9.35,0.74,1.92,5.03,1
14,5,23.03,13.13,0.66,1.64,4.92,0
15,5,25.74,10.2,0.59,1.97,3.72,1
16,5,25.67,12.4,0.57,1.57,4.25,1
17,5,27.01,9.73,0.58,1.72,4.45,1
18,5,21.47,9.45,0.65,1.86,4.19,0
19,5,19.03,9.53,0.77,2.17,5.48,0
20,5,23.47,10.82,0.76,1.96,5.49,1
21,5,20.95,9.39,0.64,2.26,3.69,0
22,5,22.58,9.24,0.66,1.8,4.93,0
23,5,21.36,10.71,0.79,1.81,5.47,0
24,5,19.38,11.77,0.82,2.1,4.12,0
25,5,22.91,9.39,0.61,2.02,4.57,0
26,5,21.92,13.77,0.79,1.56,4.06,0
27,5,23.09,12.62,0.74,2.14,4.83,1
28,5,19.47,9.66,0.58,2.12,3.92,0
29,5,27.69,10.6,0.66,1.88,5.0,1
30,5,27.51,12.65,0.71,2.27,5.34,1
31,5,20.99,13.53,0.58,1.61,5.09,0
32,5,27.62,10.82,0.65,1.97,4.15,1
33,5,19.97,9.48,0.8,2.04,4.86,0
34,5,19.03,13.77,0.57,1.89,4.85,0
35,5,25.79,9.91,0.58,1.85,5.21,1
36,5,19.21,11.0,0.68,1.52,4.53,0
37,5,24.86,13.46,0.78,1.95,4.62,1
38,5,18.98,10.28,0.65,1.76,4.3,0
39,5,27.8,10.25,0.64,1.93,5.03,1
40,5,24.55,11.39,0.63,1.93,4.88,1
41,5,18.86,12.33,0.6,2.07,4.89,0
42,5,24.13,13.21,0.68,1.53,4.8,1
43,5,19.02,9.78,0.57,1.91,3.68,0
44,5,27.9,12.47,0.61,1.71,4.18,1
45,5,27.07,13.79,0.74,2.19,5.14,1
46,5,23.73,13.64,0.83,2.15,3.77,1
47,5,21.8,11.85,0.57,1.57,4.65,0
48,5,19.98,10.21,0.57,1.68,3.96,0
49,5,19.67,10.92,0.78,2.01,3.7,0
50,5,22.07,11.79,0.63,2.15,4.5,0
51,5,25.22,11.21,0.67,1.81,5.52,1
52,5,19.52,11.99,0.81,1.97,5.4,0
53,5,20.17,10.89,0.76,2.0,5.23,0
54,5,19.54,10.97,0.72,1.72,4.09,0
55,5,23.21,13.19,0.74,2.0,4.87,1
56,5,23.51,13.19,0.68,1.71,4.74,1
57,5,20.13,12.92,0.7,1.93,4.09,0
58,5,20.83,12.92,0.68,1.76,3.89,0
59,5,23.54,13.66,0.63,1.84,3.98,0
60,5,19.19,11.93,0.74,1.55,3.8,0
