userid,courseid,sectionid,type,avg_quiz_score,completion_rate,quiz_passed,cluster,time
4,5,42,quiz,10,1.0,1,0,1754455048
4,5,38,resource,10,1.0,0,0,1754455058
4,5,38,hvp,10,1.0,0,0,1754455472
4,5,42,quiz,10,1.0,1,0,1754457440
4,5,42,quiz,10,1.0,1,0,1754457459
4,5,42,quiz,10,1.0,1,0,1754459224
4,5,38,hvp,10,1.0,0,0,1754459231
4,5,38,quiz,10,1.0,0,0,1754459238
4,5,38,resource,10,1.0,0,0,1754459245
4,5,38,hvp,10,1.0,0,0,1754459252
4,5,38,resource,10,1.0,0,0,1754460338
4,5,38,quiz,10,1.0,0,0,1754460351
4,5,39,hvp,10,1.0,1,0,1754460822
4,5,39,resource,10,1.0,1,0,1754460834
4,5,39,quiz,10,1.0,1,0,1754460844
4,5,39,quiz,10,1.0,1,0,1754460871
4,5,42,hvp,10,1.0,1,0,1754461311
4,5,42,quiz,10,1.0,1,0,1754461324
4,5,42,quiz,10,1.0,1,0,1754461373
4,5,38,quiz,10,1.0,0,0,1754461485
4,5,42,resource,10,1.0,1,0,1754659930
4,5,42,quiz,10,1.0,1,0,1754659941
4,5,42,quiz,10,1.0,1,0,1754659964
4,5,42,quiz,10,1.0,1,0,1754702789
4,5,42,hvp,10,1.0,1,0,1754702809
4,5,40,resource,10,1.0,1,0,1754702832
4,5,40,hvp,10,1.0,1,0,1754702862
4,5,38,resource,10,1.0,0,0,1754703555
4,5,38,quiz,10,1.0,0,0,1754703577
4,5,38,quiz,10,1.0,0,0,1754703609
4,5,39,resource,10,1.0,1,0,1754703647
4,5,40,quiz,10,1.0,1,0,1754703669
4,5,40,quiz,10,1.0,1,0,1754703709
4,5,40,hvp,10,1.0,1,0,1754703780
4,5,40,resource,10,1.0,1,0,1754703799
4,5,38,resource,10,1.0,0,0,1754703856
4,5,38,resource,10,1.0,0,0,1754704678
4,5,38,hvp,10,1.0,0,0,1754704695
4,5,38,quiz,10,1.0,0,0,1754704707
4,5,42,quiz,10,1.0,1,0,1754704714
4,5,42,quiz,10,1.0,1,0,1754704729
4,5,38,resource,10,1.0,0,0,1754705864
4,5,38,quiz,10,1.0,0,0,1754705875
4,5,38,quiz,10,1.0,0,0,1754705877
4,5,38,resource,10,1.0,0,0,1754705880
4,5,41,resource,10,0.5,1,0,1754705912
4,5,42,quiz,10,1.0,1,0,1754705932
4,5,42,quiz,10,1.0,1,0,1754705947
4,5,38,quiz,10,1.0,0,0,1754706355
4,5,38,quiz,10,1.0,0,0,1754706371
4,5,42,quiz,10,1.0,1,0,1754706504
4,5,42,quiz,10,1.0,1,0,1754706519
4,5,38,quiz,10,1.0,0,0,1754706822
4,5,38,quiz,10,1.0,0,0,1754706832
4,5,42,quiz,10,1.0,1,0,1754706859
4,5,42,quiz,10,1.0,1,0,1754706871
2,5,38,resource,10,1.0,1,0,1754710228
2,5,41,quiz,10,0.5,0,0,1754711260
4,5,41,quiz,10,0.5,1,0,1754711590
4,5,41,quiz,10,0.5,1,0,1754711608
4,5,43,quiz,10,1.0,1,0,1754712237
4,5,42,resource,10,1.0,1,0,1754713694
4,5,42,quiz,10,1.0,1,0,1754713697
4,5,42,quiz,10,1.0,1,0,1754713711
4,5,42,quiz,10,1.0,1,0,1754713835
4,5,43,resource,10,1.0,1,0,1754717512
4,5,43,quiz,10,1.0,1,0,1754717531
4,5,43,quiz,10,1.0,1,0,1754717545
4,5,43,hvp,10,1.0,1,0,1754794020
4,5,43,resource,10,1.0,1,0,1754794045
4,5,43,quiz,10,1.0,1,0,1754794135
4,5,43,quiz,10,1.0,1,0,1754794143
4,5,43,quiz,10,1.0,1,0,1754794161
4,5,43,quiz,10,1.0,1,0,1754794358
4,5,43,quiz,10,1.0,1,0,1754794384
4,5,42,quiz,10,1.0,1,0,1754794603
4,5,42,quiz,10,1.0,1,0,1754794617
4,5,42,quiz,10,1.0,1,0,1754794845
4,5,42,quiz,10,1.0,1,0,1754794865
4,5,42,hvp,10,1.0,1,0,1754795912
2,5,40,hvp,10,1.0,1,0,1754796257
4,5,39,quiz,10,1.0,1,0,1754796397
2,5,38,quiz,10,1.0,1,0,1754797444
2,5,38,resource,10,1.0,1,0,1754797485
2,5,38,quiz,10,1.0,1,0,1754797489
2,5,38,quiz,10,1.0,1,0,1754797556
2,5,38,quiz,10,1.0,1,0,1754798991
2,5,38,quiz,10,1.0,1,0,1754799124
2,5,38,quiz,10,1.0,1,0,1754799141
2,5,38,quiz,10,1.0,1,0,1754799157
2,5,38,quiz,10,1.0,1,0,1754799178
2,5,38,quiz,10,1.0,1,0,1754799398
2,5,38,quiz,10,1.0,1,0,1754799416
2,5,38,quiz,10,1.0,1,0,1754799476
2,5,38,quiz,10,1.0,1,0,1754799518
2,5,38,quiz,10,1.0,1,0,1754799932
2,5,38,quiz,10,1.0,1,0,1754799936
2,5,39,quiz,10,1.0,1,0,1754800042
2,5,39,quiz,10,1.0,1,0,1754800104
2,5,39,quiz,10,1.0,1,0,1754800260
2,5,40,quiz,10,1.0,1,0,1754800371
2,5,40,quiz,10,1.0,1,0,1754800468
2,5,38,quiz,10,1.0,1,0,1754804997
2,5,40,quiz,10,1.0,1,0,1754805774
2,5,40,quiz,10,1.0,1,0,1754806035
2,5,40,quiz,10,1.0,1,0,1754806064
2,5,40,quiz,10,1.0,1,0,1754806135
2,5,40,quiz,10,1.0,1,0,1754806717
2,5,40,quiz,10,1.0,1,0,1754806741
2,5,40,quiz,10,1.0,1,0,1754806771
2,5,33,quiz,10,0,1,0,1754876892
2,5,33,quiz,10,0,1,0,1754882087
2,5,33,quiz,10,0,1,0,1754882260
2,5,33,quiz,10,0,1,0,1754882275
2,5,33,quiz,10,0,1,0,1754883384
2,5,33,quiz,10,0,1,0,1754883387
2,5,33,quiz,10,0,1,0,1754883405
2,5,33,quiz,10,0,1,0,1754883661
2,5,33,quiz,10,0,1,0,1754883900
2,5,33,quiz,10,0,1,0,1754884240
2,5,33,quiz,10,0,1,0,1754885070
2,5,33,quiz,10,0,1,0,1754885080
2,5,33,quiz,10,0,1,0,1754885096
2,5,33,quiz,10,0,1,0,1754885114
2,5,33,quiz,10,0,1,0,1754885172
2,5,33,quiz,10,0,1,0,1754885374
2,5,33,quiz,10,0,1,0,1754885384
2,5,33,quiz,10,0,1,0,1754885390
2,5,33,quiz,10,0,1,0,1754885903
2,5,33,quiz,10,0,1,0,1754885920
2,5,33,quiz,10,0,1,0,1754885922
2,5,33,quiz,10,0,1,0,1754885933
2,5,33,quiz,10,0,1,0,1754886090
2,5,33,quiz,10,0,1,0,1754886093
2,5,33,quiz,10,0,1,0,1754886096
2,5,33,quiz,10,0,1,0,1754886099
2,5,41,quiz,10,0.5,0,0,1754886128
2,5,41,quiz,10,0.5,0,0,1754886168
2,5,41,quiz,10,0.5,0,0,1754886199
2,5,33,quiz,10,0,1,0,1754886706
2,5,33,quiz,10,0,1,0,1754889581
2,5,33,quiz,10,0,1,0,1754889637
2,5,33,quiz,10,0,1,0,1754889653
2,5,33,quiz,10,0,1,0,1754961555
2,5,33,quiz,10,0,1,0,1754961572
2,5,33,quiz,10,0,1,0,1754961586
2,5,33,quiz,10,0,1,0,1754961668
2,5,42,quiz,10,0.5,0,0,1754961846
2,5,33,quiz,10,0,1,0,1754962078
2,5,33,quiz,10,0,1,0,1754962209
2,5,33,quiz,10,0,1,0,1754963133
2,5,33,quiz,10,0,1,0,1754963171
4,5,33,quiz,10,0,0,0,1754963472
4,5,33,quiz,10,0,0,0,1754964101
4,5,33,quiz,10,0,0,0,1754964352
4,5,33,quiz,10,0,0,0,1754964764
4,5,33,quiz,10,0,0,0,1754964768
4,5,33,quiz,10,0,0,0,1754964774
4,5,33,quiz,10,0,0,0,1754964776
4,5,33,quiz,10,0,0,0,1754965672
2,5,33,quiz,10,0,1,0,1754965687
2,5,33,quiz,10,0,1,0,1754965692
2,5,33,quiz,10,0,1,0,1754965713
2,5,33,quiz,10,0,1,0,1754965713
2,5,33,quiz,10,0,1,0,1754969111
2,5,33,quiz,10,0,1,0,1754969163
2,5,33,quiz,10,0,1,0,1754970306
2,5,33,quiz,10,0,1,0,1754970316
2,5,33,quiz,10,0,1,0,1754970336
2,5,33,quiz,10,0,1,0,1754970347
