userid,finalgrade,behavior_analysis
8860,6,Active_Submission (Lag: 18.25h) - \mod_assign\event\assessable_submitted
9227,-1,Active_Submission (Lag: 37.9h) - \mod_assign\event\assessable_submitted
8609,9,Active_Submission (Lag: 173.22h) - \mod_quiz\event\attempt_submitted
9169,8,Active_Submission (Lag: 172.43h) - \mod_quiz\event\attempt_submitted
9043,7,Active_Submission (Lag: 172.98h) - \mod_quiz\event\attempt_submitted
9260,7,Active_Submission (Lag: 173.31h) - \mod_quiz\event\attempt_submitted
7267,-1,Passive_View_Only
9453,-1,Passive_View_Only
9452,-1,Active_Submission (Lag: 165.58h) - \mod_assign\event\assessable_submitted
9152,8,Active_Submission (Lag: 172.43h) - \mod_quiz\event\attempt_submitted
9183,-1,Active_Submission (Lag: 94.12h) - \mod_data\event\record_created
9155,-1,Active_Submission (Lag: 171.65h) - \mod_quiz\event\attempt_submitted
9131,-1,Active_Submission (Lag: 127.34h) - \mod_assign\event\assessable_submitted
8964,-1,Active_Submission (Lag: 252.37h) - \mod_assign\event\assessable_submitted
9109,8,Active_Submission (Lag: 172.5h) - \mod_quiz\event\attempt_submitted
9220,7,Active_Submission (Lag: 89.96h) - \mod_assign\event\assessable_submitted
8965,-1,Active_Submission (Lag: 254.29h) - \mod_assign\event\assessable_submitted
9146,7,Active_Submission (Lag: 113.91h) - \mod_assign\event\assessable_submitted
9151,8,Active_Submission (Lag: 22.47h) - \mod_assign\event\assessable_submitted
8860,5,Active_Submission (Lag: 17.57h) - \mod_assign\event\assessable_submitted
9227,9,Active_Submission (Lag: 37.49h) - \mod_assign\event\assessable_submitted
9227,8,Active_Submission (Lag: 37.48h) - \mod_assign\event\assessable_submitted
9227,9,Active_Submission (Lag: 37.57h) - \mod_assign\event\assessable_submitted
9183,8,Active_Submission (Lag: 93.78h) - \mod_data\event\record_created
9183,7,Active_Submission (Lag: 93.76h) - \mod_data\event\record_created
9183,8,Active_Submission (Lag: 93.74h) - \mod_data\event\record_created
8860,1,Old_Activity_Found (33 days ago)
8860,1,Old_Activity_Found (33 days ago)
8860,0,Old_Activity_Found (33 days ago)
8860,1,Old_Activity_Found (33 days ago)
8860,9,Old_Activity_Found (33 days ago)
9146,7,Active_Submission (Lag: 113.6h) - \mod_assign\event\assessable_submitted
9131,4,Active_Submission (Lag: 7.01h) - \mod_assign\event\assessable_submitted
9146,7,Active_Submission (Lag: 8.95h) - \mod_assign\event\assessable_submitted
9146,6,Active_Submission (Lag: 9.06h) - \mod_assign\event\assessable_submitted
9131,8,Active_Submission (Lag: 7.16h) - \mod_assign\event\assessable_submitted
9146,5,Active_Submission (Lag: 9.02h) - \mod_assign\event\assessable_submitted
9146,8,Active_Submission (Lag: 9.12h) - \mod_assign\event\assessable_submitted
9452,6,Active_Submission (Lag: 45.17h) - \mod_assign\event\assessable_submitted
9452,8,Active_Submission (Lag: 45.38h) - \mod_assign\event\assessable_submitted
9452,1,Active_Submission (Lag: 45.36h) - \mod_assign\event\assessable_submitted
9452,7,Active_Submission (Lag: 45.34h) - \mod_assign\event\assessable_submitted
9155,3,Active_Submission (Lag: 11.28h) - \mod_quiz\event\attempt_submitted
8670,7,Active_Submission (Lag: 11.22h) - \mod_quiz\event\attempt_submitted
9131,8,Active_Submission (Lag: 10.91h) - \mod_quiz\event\attempt_submitted
9152,8,Active_Submission (Lag: 11.44h) - \mod_quiz\event\attempt_submitted
9169,7,Active_Submission (Lag: 11.62h) - \mod_quiz\event\attempt_submitted
