id,timecreated,eventname,action,target,userid,courseid,other
9206091,2022-09-03 13:04:58,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206092,2022-09-03 13:04:59,\mod_assign\event\submission_form_viewed,viewed,submission_form,8670,670,{'assignid': '****'}
9206093,2022-09-03 13:05:36,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206094,2022-09-03 13:05:36,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8670,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
9206095,2022-09-03 13:05:36,\assignsubmission_onlinetext\event\submission_created,created,submission,8670,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
9206096,2022-09-03 13:05:36,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8670,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9206097,2022-09-03 13:05:36,\assignsubmission_file\event\submission_created,created,submission,8670,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9206098,2022-09-03 13:05:37,\core\event\course_module_completion_updated,updated,course_module_completion,8670,670,"{'relateduserid': 8670, 'overrideby': None, 'completionstate': 1}"
9206099,2022-09-03 13:05:37,\mod_assign\event\assessable_submitted,submitted,assessable,8670,670,{'submission_editable': True}
9206100,2022-09-03 13:05:37,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206101,2022-09-03 13:05:37,\mod_assign\event\submission_status_viewed,viewed,submission_status,8670,670,{'assignid': '****'}
9206123,2022-09-03 13:25:55,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206124,2022-09-03 13:25:56,\mod_assign\event\submission_form_viewed,viewed,submission_form,8670,670,{'assignid': '****'}
9206125,2022-09-03 13:26:07,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206126,2022-09-03 13:26:07,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8670,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
9206127,2022-09-03 13:26:07,\assignsubmission_onlinetext\event\submission_updated,updated,submission,8670,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
9206128,2022-09-03 13:26:07,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8670,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9206129,2022-09-03 13:26:07,\assignsubmission_file\event\submission_updated,updated,submission,8670,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9206130,2022-09-03 13:26:07,\mod_assign\event\assessable_submitted,submitted,assessable,8670,670,{'submission_editable': True}
9206131,2022-09-03 13:26:07,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206132,2022-09-03 13:26:07,\mod_assign\event\submission_status_viewed,viewed,submission_status,8670,670,{'assignid': '****'}
9206133,2022-09-03 13:26:16,\core\event\course_viewed,viewed,course,8670,670,
9206135,2022-09-03 13:27:05,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206136,2022-09-03 13:27:05,\mod_assign\event\submission_status_viewed,viewed,submission_status,8670,670,{'assignid': '****'}
9206137,2022-09-03 13:27:16,\core\event\course_viewed,viewed,course,8670,670,
9206138,2022-09-03 13:27:19,\mod_assign\event\course_module_viewed,viewed,course_module,8670,670,
9206139,2022-09-03 13:27:19,\mod_assign\event\submission_status_viewed,viewed,submission_status,8670,670,{'assignid': '****'}
9206140,2022-09-03 13:27:21,\core\event\course_viewed,viewed,course,8670,670,
