id,timemodified,userid,courseid,finalgrade,itemtype
344724,1674567497,9043,670,7,course
342525,1673984235,9043,670,6,mod
342298,1673939560,9043,670,9,mod
341975,1673870541,9043,670,9,mod
341969,1673869944,9043,670,5,mod
314237,1672748396,9043,670,10,mod
314236,1672742829,9043,670,10,mod
314235,1672742326,9043,670,10,mod
314234,1672679915,9043,670,9,mod
314233,1672747789,9043,670,8,mod
314232,1672668333,9043,670,10,mod
314231,1672666325,9043,670,10,mod
314230,1672662430,9043,670,3,mod
314229,1672661772,9043,670,10,mod
314228,1672672247,9043,670,10,mod
314227,1672670693,9043,670,8,mod
314226,1672743317,9043,670,6,mod
