id,timecreated,eventname,action,target,userid,courseid,other
9242797,2022-09-07 11:05:36,\core\event\course_viewed,viewed,course,9169,670,
9242821,2022-09-07 11:05:58,\mod_page\event\course_module_viewed,viewed,course_module,9169,670,
9242935,2022-09-07 11:08:27,\core\event\course_viewed,viewed,course,9169,670,
9266295,2022-09-09 05:35:51,\core\event\course_viewed,viewed,course,9169,670,
9268260,2022-09-09 09:03:26,\core\event\course_viewed,viewed,course,9169,670,
9312017,2022-09-13 16:10:27,\core\event\course_viewed,viewed,course,9169,670,
9312028,2022-09-13 16:11:10,\core\event\recent_activity_viewed,viewed,recent_activity,9169,670,
9312029,2022-09-13 16:11:20,\core\event\course_viewed,viewed,course,9169,670,
9362125,2022-09-18 09:48:56,\core\event\course_viewed,viewed,course,9169,670,
9362126,2022-09-18 09:49:01,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362127,2022-09-18 09:49:01,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '****'}
9362128,2022-09-18 09:49:05,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362129,2022-09-18 09:49:05,\mod_assign\event\submission_form_viewed,viewed,submission_form,9169,670,{'assignid': '****'}
9362131,2022-09-18 09:49:12,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362132,2022-09-18 09:49:12,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,9169,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9362133,2022-09-18 09:49:12,\assignsubmission_file\event\submission_created,created,submission,9169,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9362134,2022-09-18 09:49:12,\core\event\course_module_completion_updated,updated,course_module_completion,9169,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
9362135,2022-09-18 09:49:12,\mod_assign\event\assessable_submitted,submitted,assessable,9169,670,{'submission_editable': True}
9362136,2022-09-18 09:49:12,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362137,2022-09-18 09:49:13,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '****'}
9362138,2022-09-18 09:49:16,\core\event\course_viewed,viewed,course,9169,670,
9362139,2022-09-18 09:49:19,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362140,2022-09-18 09:49:19,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '****'}
9362141,2022-09-18 09:49:21,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362142,2022-09-18 09:49:21,\mod_assign\event\submission_form_viewed,viewed,submission_form,9169,670,{'assignid': '****'}
9362143,2022-09-18 09:49:37,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362144,2022-09-18 09:49:37,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,9169,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
9362145,2022-09-18 09:49:37,\assignsubmission_onlinetext\event\submission_created,created,submission,9169,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
9362146,2022-09-18 09:49:37,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,9169,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9362147,2022-09-18 09:49:37,\assignsubmission_file\event\submission_created,created,submission,9169,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9362148,2022-09-18 09:49:37,\core\event\course_module_completion_updated,updated,course_module_completion,9169,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
9362149,2022-09-18 09:49:37,\mod_assign\event\assessable_submitted,submitted,assessable,9169,670,{'submission_editable': True}
9362150,2022-09-18 09:49:38,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
9362151,2022-09-18 09:49:38,\mod_assign\event\submission_status_viewed,viewed,submission_status,9169,670,{'assignid': '****'}
9408165,2022-09-21 11:11:32,\core\event\course_viewed,viewed,course,9169,670,
9416810,2022-09-22 06:18:36,\core\event\course_viewed,viewed,course,9169,670,
9419486,2022-09-22 09:26:28,\core\event\course_viewed,viewed,course,9169,670,
9481132,2022-09-28 11:01:28,\core\event\course_viewed,viewed,course,9169,670,
9485269,2022-09-28 17:17:53,\core\event\course_viewed,viewed,course,9169,670,
9485270,2022-09-28 17:18:44,\mod_assign\event\course_module_viewed,viewed,course_module,9169,670,
