id,timecreated,eventname,action,target,userid,courseid,other
9479152,2022-09-28 09:15:15,\core\event\course_viewed,viewed,course,8860,670,
9685103,2022-10-16 13:51:45,\core\event\course_viewed,viewed,course,8860,670,
9685115,2022-10-16 13:53:11,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9685116,2022-10-16 13:53:11,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9685118,2022-10-16 13:53:14,\core\event\course_viewed,viewed,course,8860,670,
9685119,2022-10-16 13:53:23,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9685120,2022-10-16 13:53:23,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9685121,2022-10-16 13:53:28,\core\event\course_viewed,viewed,course,8860,670,
9685122,2022-10-16 13:53:29,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9685123,2022-10-16 13:53:30,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9685124,2022-10-16 13:53:34,\core\event\course_viewed,viewed,course,8860,670,
9685125,2022-10-16 13:53:36,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9685126,2022-10-16 13:53:36,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9685127,2022-10-16 13:54:00,\core\event\course_viewed,viewed,course,8860,670,
9685128,2022-10-16 13:54:04,\mod_resource\event\course_module_viewed,viewed,course_module,8860,670,
9698129,2022-10-17 14:14:42,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9698130,2022-10-17 14:14:42,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9730346,2022-10-19 14:26:28,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9730347,2022-10-19 14:26:29,\mod_assign\event\submission_form_viewed,viewed,submission_form,8860,670,{'assignid': '****'}
9730348,2022-10-19 14:26:46,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9730349,2022-10-19 14:26:46,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8860,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
9730350,2022-10-19 14:26:46,\assignsubmission_onlinetext\event\submission_created,created,submission,8860,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
9730351,2022-10-19 14:26:46,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8860,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9730352,2022-10-19 14:26:46,\assignsubmission_file\event\submission_created,created,submission,8860,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9730353,2022-10-19 14:26:46,\mod_assign\event\assessable_submitted,submitted,assessable,8860,670,{'submission_editable': True}
9730354,2022-10-19 14:26:46,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9730355,2022-10-19 14:26:46,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9730356,2022-10-19 14:26:51,\core\event\course_viewed,viewed,course,8860,670,
9730358,2022-10-19 14:27:12,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9730359,2022-10-19 14:27:13,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9730360,2022-10-19 14:27:15,\core\event\course_viewed,viewed,course,8860,670,
9730361,2022-10-19 14:27:17,\core\event\course_module_completion_updated,updated,course_module_completion,8860,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
9730362,2022-10-19 14:27:18,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9730363,2022-10-19 14:27:19,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9730395,2022-10-19 14:32:20,\core\event\course_viewed,viewed,course,8860,670,
9730398,2022-10-19 14:32:30,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9730399,2022-10-19 14:32:30,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9731584,2022-10-19 16:18:07,\core\event\course_viewed,viewed,course,8860,670,
9731589,2022-10-19 16:18:25,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9731590,2022-10-19 16:18:25,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '***'}
9731591,2022-10-19 16:18:27,\core\event\course_viewed,viewed,course,8860,670,
9731592,2022-10-19 16:18:30,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9731593,2022-10-19 16:18:30,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9731594,2022-10-19 16:18:33,\core\event\course_viewed,viewed,course,8860,670,
9732579,2022-10-19 17:44:51,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732580,2022-10-19 17:44:51,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9732581,2022-10-19 17:44:54,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732582,2022-10-19 17:44:54,\mod_assign\event\submission_form_viewed,viewed,submission_form,8860,670,{'assignid': '****'}
9732583,2022-10-19 17:44:56,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732584,2022-10-19 17:44:56,\mod_assign\event\submission_form_viewed,viewed,submission_form,8860,670,{'assignid': '****'}
9732589,2022-10-19 17:45:13,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732590,2022-10-19 17:45:13,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8860,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
9732591,2022-10-19 17:45:13,\assignsubmission_onlinetext\event\submission_created,created,submission,8860,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
9732592,2022-10-19 17:45:13,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8860,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9732593,2022-10-19 17:45:13,\assignsubmission_file\event\submission_created,created,submission,8860,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9732594,2022-10-19 17:45:13,\core\event\course_module_completion_updated,updated,course_module_completion,8860,670,"{'relateduserid': 8860, 'overrideby': None, 'completionstate': 1}"
9732595,2022-10-19 17:45:13,\mod_assign\event\assessable_submitted,submitted,assessable,8860,670,{'submission_editable': True}
9732596,2022-10-19 17:45:13,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732597,2022-10-19 17:45:13,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
9732598,2022-10-19 17:45:17,\core\event\course_viewed,viewed,course,8860,670,
9732602,2022-10-19 17:45:38,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732603,2022-10-19 17:45:38,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '***'}
9732605,2022-10-19 17:45:42,\core\event\course_viewed,viewed,course,8860,670,
9732807,2022-10-19 18:02:39,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732808,2022-10-19 18:02:39,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '***'}
9732809,2022-10-19 18:02:41,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732810,2022-10-19 18:02:42,\mod_assign\event\submission_form_viewed,viewed,submission_form,8860,670,{'assignid': '***'}
9732815,2022-10-19 18:03:07,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732816,2022-10-19 18:03:07,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8860,670,"{'pathnamehashes': {}, 'content': '********************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************', 'format': '*'}"
9732817,2022-10-19 18:03:07,\assignsubmission_onlinetext\event\submission_created,created,submission,8860,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 368, 'groupid': 0, 'groupname': None}"
9732818,2022-10-19 18:03:07,\mod_assign\event\assessable_submitted,submitted,assessable,8860,670,{'submission_editable': True}
9732819,2022-10-19 18:03:07,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732820,2022-10-19 18:03:07,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '***'}
9732822,2022-10-19 18:03:14,\core\event\course_viewed,viewed,course,8860,670,
9732823,2022-10-19 18:03:19,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732824,2022-10-19 18:03:20,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '***'}
9732825,2022-10-19 18:03:22,\core\event\course_viewed,viewed,course,8860,670,
9732826,2022-10-19 18:03:23,\core\event\course_module_completion_updated,updated,course_module_completion,8860,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
9732827,2022-10-19 18:03:35,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
9732828,2022-10-19 18:03:35,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
10282906,2022-11-27 11:52:06,\core\event\course_viewed,viewed,course,8860,670,
10282949,2022-11-27 11:54:05,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
10282950,2022-11-27 11:54:05,\mod_assign\event\submission_status_viewed,viewed,submission_status,8860,670,{'assignid': '****'}
10287466,2022-11-27 18:18:10,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
10287467,2022-11-27 18:18:11,\mod_assign\event\submission_form_viewed,viewed,submission_form,8860,670,{'assignid': '****'}
10287471,2022-11-27 18:18:26,\mod_assign\event\course_module_viewed,viewed,course_module,8860,670,
10287472,2022-11-27 18:18:26,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8860,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
10287473,2022-11-27 18:18:26,\assignsubmission_onlinetext\event\submission_created,created,submission,8860,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
10287474,2022-11-27 18:18:26,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8860,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
