Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Get login page,25,119,111,155,8.29,0.000%,1.04241,19.55,0.14,19204.0
Login,25,422,398,485,18.25,0.000%,.41331,87.58,0.41,216981.0
test login,25,309,274,353,12.93,0.000%,.27242,56.79,0.15,213459.5
View Chủ đề 1,65,300,277,393,21.12,0.000%,.06464,16.75,0.02,265390.2
View Section 1,21,306,277,367,21.23,0.000%,.13510,42.48,0.04,321955.3
View Bài 1,28,326,244,1960,315.10,0.000%,.19287,36.68,0.06,194726.6
View pdf bai 1,36,729,451,4263,843.00,0.000%,.19914,1095.72,0.06,5634395.0
Start Quiz 1,7,581,328,1444,361.64,0.000%,.08664,13.58,0.05,160500.9
View video 1,16,279,258,383,29.59,0.000%,.10421,16.17,0.03,158853.2
Get bộ câu hỏi easy 1,25,296,263,618,66.96,0.000%,.12434,19.24,0.05,158449.8
Submit câu 1,33,828,336,15387,2575.16,0.000%,.04921,7.72,0.04,160620.1
Start Quiz easy bai 1,18,347,326,421,21.14,0.000%,.15266,23.94,0.10,160558.8
Submit câu 2,33,359,331,455,23.25,0.000%,.05016,7.87,0.04,160614.6
Submit câu 3,33,352,328,416,20.96,0.000%,.05125,8.04,0.04,160614.6
Submit Quiz,43,359,331,444,22.46,0.000%,.06850,11.06,0.05,165395.7
Set grade,17,261,242,292,16.35,0.000%,.02686,4.18,0.01,159324.1
Debug Sampler,17,1,0,7,1.75,0.000%,.02796,0.03,0.00,940.8
View Grade,18,299,281,332,13.94,0.000%,.19956,47.78,0.06,245169.2
View bài 2,57,265,213,472,39.41,0.000%,.10548,20.03,0.03,194478.7
View video bai 1,47,286,250,973,101.95,0.000%,.09257,14.36,0.03,158857.4
View pdf bai 2,92,651,462,4749,585.59,0.000%,.19350,1214.97,0.06,6429496.0
Start Quiz easy bài 2,10,374,350,438,29.62,0.000%,.19630,30.68,0.12,160045.4
Start Quiz medium bài 2,8,372,348,409,21.63,0.000%,.03890,6.08,0.02,160077.5
Get bộ câu hỏi medium bài 2,8,302,260,396,51.61,0.000%,.03812,5.89,0.02,158112.0
View video bai 2,8,296,261,384,38.44,0.000%,.04199,6.52,0.01,158877.2
TOTAL,715,393,0,15387,653.58,0.000%,.68332,839.68,0.30,1258311.0
