Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:Get login page,20,122,113,131,6.58,0.000%,1.04767,19.65,0.14,19204.0
Thread Group:Login,20,425,403,462,13.22,0.000%,.41738,88.45,0.42,217002.7
Thread Group:test login,20,312,290,332,9.40,0.000%,.27861,58.08,0.15,213481.0
Thread Group:View Chủ đề 1,45,305,274,426,31.73,0.000%,.05999,15.55,0.02,265395.0
Thread Group:View Section 1,21,301,282,336,16.49,0.000%,.15865,49.88,0.05,321959.0
Thread Group:View Bài 1,20,264,245,333,18.75,0.000%,.16745,31.84,0.05,194731.0
Thread Group:View pdf bai 1,26,1337,485,21061,3945.25,3.846%,.21678,1146.93,0.07,5417787.8
Thread Group:Start Quiz 1,7,374,342,441,32.88,0.000%,.09371,14.70,0.06,160666.6
Thread Group:Get bộ câu hỏi easy 1,20,287,262,373,28.25,0.000%,.12755,19.74,0.05,158461.6
Thread Group:Start Quiz easy bai 1,13,374,316,604,72.81,0.000%,.11768,18.45,0.07,160525.6
Thread Group:View video 1,12,268,259,285,7.60,0.000%,.16469,25.55,0.05,158862.0
Thread Group:Submit câu 1,26,395,332,946,147.00,0.000%,.05131,8.05,0.04,160637.0
Thread Group:Submit câu 2,26,356,334,422,18.24,0.000%,.05258,8.25,0.04,160631.2
Thread Group:Submit câu 3,26,345,332,364,9.89,0.000%,.05410,8.49,0.05,160631.2
Thread Group:Submit Quiz,33,354,333,381,11.19,0.000%,.07097,11.47,0.05,165496.8
Thread Group:Set grade,20,255,219,303,16.18,0.000%,.04022,6.26,0.02,159330.6
Thread Group:Debug Sampler,20,0,0,1,0.50,0.000%,.04265,0.04,0.00,925.8
Thread Group:View Grade,13,319,279,469,49.38,0.000%,.15257,36.51,0.05,245060.2
Thread Group:View bài 2,39,289,243,1031,133.69,0.000%,.09472,17.99,0.03,194483.0
Thread Group:View pdf bai 2,71,684,470,4473,600.00,0.000%,.18022,1131.59,0.06,6429495.9
Thread Group:Start Quiz easy bài 2,7,368,352,412,18.84,0.000%,.11885,18.58,0.07,160041.3
Thread Group:View video bai 1,32,309,247,1325,184.37,0.000%,.09681,15.02,0.03,158862.0
Thread Group:Start Quiz medium bài 2,6,388,354,474,39.84,0.000%,.05267,8.23,0.03,160096.0
Thread Group:Get bộ câu hỏi medium bài 2,6,287,264,385,43.66,0.000%,.05209,8.04,0.02,158130.0
Thread Group:View video bai 2,6,281,270,293,8.29,0.000%,.06111,9.48,0.02,158886.0
TOTAL,555,398,0,21061,919.63,0.180%,.69124,824.97,0.31,1222106.5
