id,timemodified,userid,courseid,finalgrade,itemtype
382391,2023-01-05,10000,670,8.772004655536254,course
300632,2023-01-27,10001,670,8.81784103421116,course
330760,2023-01-28,10002,670,8.265661283582856,course
390508,2023-01-22,10003,670,8.075160664176586,course
334589,2023-01-22,10004,670,9.373818370601477,course
366645,2023-01-15,10005,670,7.511127067355309,course
310881,2023-01-26,10006,670,8.132076848112334,course
361317,2023-01-08,10007,670,7.527201527922927,course
399844,2023-01-03,10008,670,8.806315000854346,course
307545,2023-01-18,10009,670,8.065607448975403,course
301821,2023-01-22,10010,670,8.128162149163908,course
311406,2023-01-17,10011,670,8.965734547576638,course
359295,2023-01-24,10012,670,8.03725638741481,course
341469,2023-01-23,10013,670,8.526524061041432,course
372907,2023-01-03,10014,670,8.50176996809321,course
372522,2023-01-12,10015,670,8.626962304427872,course
341517,2023-01-02,10016,670,9.168443727315726,course
370321,2023-01-17,10017,670,8.39929065756986,course
315164,2023-01-22,10018,670,8.769181976511524,course
351118,2023-01-04,10019,670,7.851990191910908,course
312963,2023-01-26,10020,670,7.985759312979987,course
303872,2023-01-28,10021,670,8.252413820058973,course
385011,2023-01-02,10022,670,8.688571048129106,course
361982,2023-01-21,10023,670,8.698549725893082,course
352559,2023-01-28,10024,670,8.572693848160375,course
366195,2023-01-07,10025,670,8.143657804468702,course
306295,2023-01-13,10026,670,9.221181281511372,course
388311,2023-01-11,10027,670,8.23844653003178,course
332478,2023-01-18,10028,670,7.733483975457942,course
334172,2023-01-05,10029,670,8.368006740350982,course
300238,2023-01-26,10030,670,8.570446428203699,course
373487,2023-01-10,10031,670,8.57599396387268,course
311870,2023-01-12,10032,670,8.254162321486577,course
305663,2023-01-24,10033,670,7.279861747799655,course
357445,2023-01-07,10034,670,8.448323939686446,course
352890,2023-01-30,10035,670,9.176092889097921,course
351125,2023-01-04,10036,670,8.222901077994228,course
387663,2023-01-10,10037,670,7.797770816039013,course
322805,2023-01-28,10038,670,8.907623609065102,course
373323,2023-01-16,10039,670,8.237611628175983,course
317207,2023-01-03,10040,670,8.842700777091439,course
359269,2023-01-09,10041,670,8.49324591679341,course
370335,2023-01-19,10042,670,8.20225682188584,course
344838,2023-01-16,10043,670,8.777249874916885,course
325260,2023-01-11,10044,670,8.274510925660088,course
324242,2023-01-29,10045,670,8.001081829616316,course
361082,2023-01-10,10046,670,9.096497694275289,course
387946,2023-01-09,10047,670,8.339779953145296,course
357366,2023-01-27,10048,670,8.226484353629395,course
358411,2023-01-09,10049,670,7.397065032149218,course
332005,2023-01-21,10050,670,9.250830854110383,course
383554,2023-01-22,10051,670,7.609150498961641,course
375244,2023-01-04,10052,670,8.144062806818228,course
319820,2023-01-24,10053,670,8.171333421864912,course
367646,2023-01-29,10054,670,8.531615692381392,course
340452,2023-01-04,10055,670,8.1775192061496,course
397596,2023-01-30,10056,670,8.313423912733565,course
324559,2023-01-28,10057,670,8.324360042169264,course
399278,2023-01-13,10058,670,7.697903401739293,course
386536,2023-01-21,10059,670,8.918722283997838,course
342981,2023-01-28,10060,670,9.212859697004243,course
384608,2023-01-26,10061,670,8.770731496644308,course
376978,2023-01-19,10062,670,8.610863779725191,course
399830,2023-01-06,10063,670,8.932668469726321,course
334652,2023-01-09,10064,670,8.464590598773569,course
314788,2023-01-21,10065,670,8.221876934616175,course
312231,2023-01-10,10066,670,7.687246396368127,course
360511,2023-01-29,10067,670,7.855723463185678,course
334656,2023-01-28,10068,670,8.195030915371182,course
325323,2023-01-25,10069,670,8.056385393033148,course
363086,2023-01-20,10070,670,8.731529158383545,course
333000,2023-01-05,10071,670,8.434429242050797,course
351571,2023-01-04,10072,670,9.321234760271802,course
338737,2023-01-12,10073,670,8.364790099117098,course
379584,2023-01-27,10074,670,9.250472440556475,course
385475,2023-01-05,10075,670,7.72397978425474,course
357037,2023-01-23,10076,670,8.847054189668324,course
385398,2023-01-11,10077,670,8.751392805179588,course
394323,2023-01-20,10078,670,7.785941589919161,course
303599,2023-01-18,10079,670,8.81087540638732,course
310705,2023-01-30,10080,670,7.79685500783581,course
336769,2023-01-09,10081,670,8.013952286126818,course
363942,2023-01-22,10082,670,8.840526195261516,course
346133,2023-01-08,10083,670,8.755363598826534,course
