id_x,user_id,courseid,grade_item,itemtype,finalgrade,timemodified,group
379,5,2,,course,7.5,0,khá
378,5,2,bài kiểm tra bài 1 - easy,mod,7.6,0,khá
386,5,2,bài kiểm tra bài 1 - hard,mod,7.0,0,khá
385,5,2,bài kiểm tra bài 1 - medium,mod,7.5,0,khá
388,5,2,bài kiểm tra bài 2 - easy,mod,7.8,0,khá
390,5,2,bài kiểm tra bài 2 - hard,mod,7.3,0,khá
389,5,2,bài kiểm tra bài 2 - medium,mod,7.5,0,khá
394,5,2,bài kiểm tra bài 3 - hard,mod,7.5,0,khá
393,5,2,bài kiểm tra bài 3 - medium,mod,6.3,0,khá
398,5,2,Bài kiểm tra bài 4 - hard,mod,6.7,0,khá
397,5,2,Bài kiểm tra bài 4 - medium,mod,7.0,0,khá
402,5,2,Bài kiểm tra bài 5 - hard,mod,7.5,0,khá
401,5,2,Bài kiểm tra bài 5 - medium,mod,6.5,0,khá
406,5,2,Bài kiểm tra bài 6 - hard,mod,6.3,0,khá
405,5,2,Bài kiểm tra bài 6 - medium,mod,6.1,0,khá
380,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,6.0,0,khá
381,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,6.9,0,khá
382,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,6.4,0,khá
383,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,7.2,0,khá
392,5,2,Trắc nghiệm bài 3 - easy,mod,7.5,0,khá
396,5,2,Trắc nghiệm bài 4 - easy,mod,7.0,0,khá
400,5,2,Trắc nghiệm bài 5 - easy,mod,7.2,0,khá
404,5,2,Trắc nghiệm bài 6 - easy,mod,8.3,0,khá
384,5,2,Video bài giảng bài 1,mod,7.8,0,khá
387,5,2,Video bài giảng bài 2,mod,6.8,0,khá
391,5,2,Video bài giảng bài 3,mod,7.9,0,khá
395,5,2,Video bài giảng bài 4,mod,7.6,0,khá
399,5,2,Video bài giảng bài 5,mod,6.7,0,khá
