id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
27404,\mod_resource\event\course_module_viewed,mod_resource,viewed,course_module,resource,8,r,2,292,70,60,3,2,,0,null,1761713913,web,115.73.178.255,
27403,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,3,2,,0,null,1761713909,web,115.73.178.255,
27400,\mod_resource\event\course_module_viewed,mod_resource,viewed,course_module,resource,8,r,2,292,70,60,3,2,,0,null,1761713875,web,115.73.178.255,
27398,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,3,2,,0,null,1761713843,web,115.73.178.255,
27245,\gradereport_singleview\event\grade_report_viewed,gradereport_singleview,viewed,grade_report,,,r,1,14,50,2,101,2,101,0,null,1761709466,web,115.73.178.255,
27243,\gradereport_singleview\event\grade_report_viewed,gradereport_singleview,viewed,grade_report,,,r,1,14,50,2,91,2,91,0,null,1761709460,web,115.73.178.255,
27244,\gradereport_singleview\event\grade_report_viewed,gradereport_singleview,viewed,grade_report,,,r,1,14,50,2,93,2,93,0,null,1761709460,web,115.73.178.255,
27242,\mod_quiz\event\attempt_reviewed,mod_quiz,reviewed,attempt,quiz_attempts,375,r,2,288,70,56,101,2,101,0,"{""quizid"":""27""}",1761709459,web,115.73.178.255,
27241,\mod_quiz\event\attempt_reviewed,mod_quiz,reviewed,attempt,quiz_attempts,374,r,2,288,70,56,93,2,93,0,"{""quizid"":""27""}",1761709457,web,115.73.178.255,
27239,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,375,u,2,288,70,56,101,2,101,0,"{""quizid"":""27"",""page"":""2""}",1761709456,web,115.73.178.255,
27240,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,375,r,2,288,70,56,101,2,101,0,"{""quizid"":""27"",""page"":""2""}",1761709456,web,115.73.178.255,
27238,\mod_quiz\event\attempt_reviewed,mod_quiz,reviewed,attempt,quiz_attempts,373,r,2,288,70,56,91,2,91,0,"{""quizid"":""27""}",1761709455,web,115.73.178.255,
27236,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,374,u,2,288,70,56,93,2,93,0,"{""quizid"":""27"",""page"":""2""}",1761709451,web,115.73.178.255,
27237,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,374,r,2,288,70,56,93,2,93,0,"{""quizid"":""27"",""page"":""2""}",1761709451,web,115.73.178.255,
27234,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,373,u,2,288,70,56,91,2,91,0,"{""quizid"":""27"",""page"":""2""}",1761709449,web,115.73.178.255,
27235,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,373,r,2,288,70,56,91,2,91,0,"{""quizid"":""27"",""page"":""2""}",1761709449,web,115.73.178.255,
27231,\mod_quiz\event\attempt_reviewed,mod_quiz,reviewed,attempt,quiz_attempts,372,r,2,288,70,56,85,2,85,0,"{""quizid"":""27""}",1761709448,web,115.73.178.255,
27232,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,375,u,2,288,70,56,101,2,101,0,"{""quizid"":""27"",""page"":""1""}",1761709448,web,115.73.178.255,
27233,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,375,r,2,288,70,56,101,2,101,0,"{""quizid"":""27"",""page"":""1""}",1761709448,web,115.73.178.255,
