state,action,q_value
2_2_True_1.00_2_1.00_0,Stay,-2.235112838421365
2_2_True_1.00_2_1.00_0,Go_to_high_level,9.743079216979947
2_2_True_1.00_2_1.00_0,Previous,0.6606315206129649
2_2_True_1.00_2_1.00_0,Go_to_low_level,0.7743487473794111
2_2_True_1.00_2_1.00_0,Next,2.7322310449253657
2_2_True_1.00_1_1.00_0,Stay,-3.0104951301503684
2_2_True_1.00_1_1.00_0,Next,10.56684011635123
2_2_True_1.00_1_1.00_0,Previous,0.8809794387445261
2_2_True_1.00_1_1.00_0,Go_to_high_level,3.331160159015341
2_2_True_1.00_1_1.00_0,Go_to_low_level,2.1668528365558415
2_2_True_0.00_2_1.00_0,Go_to_high_level,15.401695497325347
2_2_True_0.00_2_1.00_0,Next,6.428128233408586
2_2_True_0.00_2_1.00_0,Previous,6.0194819691830235
2_2_True_0.00_2_1.00_0,Go_to_low_level,0.7147094733647776
2_2_True_0.00_2_1.00_0,Stay,2.243248263826155
2_2_True_0.00_1_1.00_0,Go_to_low_level,1.4633320460755546
2_2_True_0.00_1_1.00_0,Stay,11.213348851868208
2_2_True_0.00_1_1.00_0,Previous,-0.06612832337256894
2_2_True_0.00_1_1.00_0,Next,2.77778412570588
2_2_True_0.00_1_1.00_0,Go_to_high_level,0.7144929412671407
2_2_True_0.00_3_1.00_0,Previous,12.107900572449699
2_2_True_0.00_3_1.00_0,Go_to_low_level,0.8769554796236902
2_2_True_0.00_3_1.00_0,Go_to_high_level,1.443125088384588
2_2_True_0.00_3_1.00_0,Stay,1.0332736283711945
2_1_False_2.00_0_0.00_0,Go_to_low_level,-1.0713015224498816
2_1_False_2.00_0_0.00_0,Stay,-1.0659592415905808
2_1_False_2.00_0_0.00_0,Previous,-1.4330971959949648
2_1_False_2.00_0_0.00_0,Next,9.790601321399722
2_1_False_2.00_0_0.00_0,Go_to_high_level,2.036471616340404
2_1_False_2.00_0_1.00_0,Next,9.002361703932792
2_1_False_2.00_0_1.00_0,Go_to_high_level,2.5434756126084137
2_1_False_2.00_0_1.00_0,Stay,-0.03226310839217677
2_1_False_2.00_0_1.00_0,Previous,0.7154758314613018
0_1_False_2.00_0_0.00_2,Go_to_high_level,4.166366876318376
0_1_False_2.00_0_0.00_2,Previous,-0.4423478045830868
0_1_False_2.00_0_0.00_2,Stay,0.19025956365132393
0_2_True_2.00_3_0.00_0,Go_to_low_level,-0.9548226325847359
0_2_True_2.00_3_0.00_0,Stay,0.21199123178514312
0_2_True_2.00_3_0.00_0,Next,0.16168938486110263
0_1_False_2.00_0_0.00_0,Go_to_high_level,7.96530025446758
0_1_False_2.00_0_0.00_0,Stay,-0.5156443602706481
0_1_False_2.00_0_0.00_0,Previous,0.31525417639024583
0_1_False_2.00_0_0.00_0,Go_to_low_level,0.9565868215343045
0_1_False_2.00_0_0.00_0,Next,1.9144498782805628
0_2_True_1.00_2_0.00_3,Previous,0.6000000000000001
0_1_False_2.00_0_0.00_3,Next,2.7021389482916547
0_1_False_2.00_0_0.00_1,Previous,-1.02163761516573
0_1_False_2.00_0_0.00_1,Go_to_low_level,1.3072466157434801
0_2_True_2.00_2_1.00_4,Go_to_low_level,-0.30379096292042684
0_2_True_1.00_2_1.00_0,Previous,-0.41178271864084787
0_2_True_1.00_2_1.00_0,Go_to_high_level,9.607065439974448
0_2_True_1.00_2_1.00_0,Go_to_low_level,1.2111221202420799
0_2_True_1.00_2_1.00_0,Stay,1.2570975439281717
0_3_True_1.00_2_0.00_1,Next,6.504399401524
0_3_True_1.00_2_0.00_1,Go_to_high_level,0.07241717671476719
0_3_True_1.00_2_0.00_1,Previous,0.00509883467142922
0_3_True_2.00_3_0.00_5,Go_to_high_level,0.0
0_3_True_2.00_1_0.00_0,Go_to_high_level,0.1615910979271218
0_2_True_2.00_2_0.00_3,Go_to_high_level,0.1
0_2_True_2.00_1_1.00_2,Go_to_high_level,0.271
0_3_True_2.00_3_0.00_2,Stay,-0.2
0_2_True_2.00_1_0.00_0,Go_to_high_level,2.263795683903674
0_3_True_1.00_1_0.00_1,Go_to_high_level,1.1689823853930759
0_3_True_1.00_1_0.00_1,Next,7.594384824302811
0_3_True_1.00_1_0.00_1,Previous,1.056604953181848
0_2_True_1.00_3_0.00_0,Previous,0.17873366045464087
0_2_True_1.00_3_0.00_0,Go_to_high_level,11.152693625168672
