userid,courseid,sectionid,type,avg_quiz_score,completion_rate,quiz_passed,cluster,time
4,5,42,quiz,0.0,0,0,0.0,1754455048
4,5,38,resource,0.0,0,0,0.0,1754455058
4,5,38,hvp,0.0,0,0,0.0,1754455472
4,5,42,quiz,0.0,0,0,0.0,1754457440
4,5,42,quiz,0.0,0,0,0.0,1754457459
4,5,42,quiz,1.6,1.0,1,0.0,1754455048
4,5,38,resource,1.6,1.0,0,0.0,1754455058
4,5,38,hvp,1.6,1.0,0,0.0,1754455472
4,5,42,quiz,1.6,1.0,1,0.0,1754457440
4,5,42,quiz,1.6,1.0,1,0.0,1754457459
4,5,42,quiz,1.6,1.0,1,0.0,1754459224
4,5,38,hvp,1.6,1.0,0,0.0,1754459231
4,5,38,quiz,1.6,1.0,0,0.0,1754459238
4,5,38,resource,1.6,1.0,0,0.0,1754459245
4,5,38,hvp,1.6,1.0,0,0.0,1754459252
4,5,42,quiz,1.6,1.0,1,0.0,1754455048
4,5,38,resource,1.6,1.0,0,0.0,1754455058
4,5,38,hvp,1.6,1.0,0,0.0,1754455472
4,5,42,quiz,1.6,1.0,1,0.0,1754457440
4,5,42,quiz,1.6,1.0,1,0.0,1754457459
4,5,42,quiz,1.6,1.0,1,0.0,1754459224
4,5,38,hvp,1.6,1.0,0,0.0,1754459231
4,5,38,quiz,1.6,1.0,0,0.0,1754459238
4,5,38,resource,1.6,1.0,0,0.0,1754459245
4,5,38,hvp,1.6,1.0,0,0.0,1754459252
4,5,42,quiz,1.6,1.0,1,0.0,1754455048
4,5,38,resource,1.6,1.0,0,0.0,1754455058
4,5,38,hvp,1.6,1.0,0,0.0,1754455472
4,5,42,quiz,1.6,1.0,1,0.0,1754457440
4,5,42,quiz,1.6,1.0,1,0.0,1754457459
4,5,42,quiz,1.6,1.0,1,0.0,1754459224
4,5,38,hvp,1.6,1.0,0,0.0,1754459231
4,5,38,quiz,1.6,1.0,0,0.0,1754459238
4,5,38,resource,1.6,1.0,0,0.0,1754459245
4,5,38,hvp,1.6,1.0,0,0.0,1754459252
4,5,38,resource,1.6,1.0,0,0.0,1754460338
4,5,38,quiz,1.6,1.0,0,0.0,1754460351
4,5,42,quiz,1.6,1.0,1,0.0,1754455048
4,5,38,resource,1.6,1.0,0,0.0,1754455058
4,5,38,hvp,1.6,1.0,0,0.0,1754455472
4,5,42,quiz,1.6,1.0,1,0.0,1754457440
4,5,42,quiz,1.6,1.0,1,0.0,1754457459
4,5,42,quiz,1.6,1.0,1,0.0,1754459224
4,5,38,hvp,1.6,1.0,0,0.0,1754459231
4,5,38,quiz,1.6,1.0,0,0.0,1754459238
4,5,38,resource,1.6,1.0,0,0.0,1754459245
4,5,38,hvp,1.6,1.0,0,0.0,1754459252
4,5,38,resource,1.6,1.0,0,0.0,1754460338
4,5,38,quiz,1.6,1.0,0,0.0,1754460351
4,5,42,quiz,1.6,1.0,1,0.0,1754455048
4,5,38,resource,1.6,1.0,0,0.0,1754455058
4,5,38,hvp,1.6,1.0,0,0.0,1754455472
4,5,42,quiz,1.6,1.0,1,0.0,1754457440
4,5,42,quiz,1.6,1.0,1,0.0,1754457459
4,5,42,quiz,1.6,1.0,1,0.0,1754459224
4,5,38,hvp,1.6,1.0,0,0.0,1754459231
4,5,38,quiz,1.6,1.0,0,0.0,1754459238
4,5,38,resource,1.6,1.0,0,0.0,1754459245
4,5,38,hvp,1.6,1.0,0,0.0,1754459252
4,5,38,resource,1.6,1.0,0,0.0,1754460338
4,5,38,quiz,1.6,1.0,0,0.0,1754460351
4,5,39,hvp,1.6,1.0,0,0.0,1754460822
4,5,39,resource,1.6,1.0,0,0.0,1754460834
4,5,39,quiz,1.6,1.0,0,0.0,1754460844
4,5,39,quiz,1.63,1.0,0,0.0,1754460871
4,5,42,quiz,1.63,1.0,1,0.0,1754455048
4,5,38,resource,1.63,1.0,0,0.0,1754455058
4,5,38,hvp,1.63,1.0,0,0.0,1754455472
4,5,42,quiz,1.63,1.0,1,0.0,1754457440
4,5,42,quiz,1.63,1.0,1,0.0,1754457459
4,5,42,quiz,1.63,1.0,1,0.0,1754459224
4,5,38,hvp,1.63,1.0,0,0.0,1754459231
4,5,38,quiz,1.63,1.0,0,0.0,1754459238
4,5,38,resource,1.63,1.0,0,0.0,1754459245
4,5,38,hvp,1.63,1.0,0,0.0,1754459252
4,5,38,resource,1.63,1.0,0,0.0,1754460338
4,5,38,quiz,1.63,1.0,0,0.0,1754460351
4,5,39,hvp,1.63,1.0,0,0.0,1754460822
4,5,39,resource,1.63,1.0,0,0.0,1754460834
4,5,39,quiz,1.63,1.0,0,0.0,1754460844
4,5,39,quiz,1.63,1.0,0,0.0,1754460871
4,5,42,hvp,1.63,1.0,1,0.0,1754461311
4,5,42,quiz,1.63,1.0,1,0.0,1754461324
4,5,42,quiz,1.65,1.0,1,0.0,1754461373
4,5,38,quiz,1.65,1.0,0,0.0,1754461485
4,5,42,quiz,1.65,1.0,1,0.0,1754455048
4,5,38,resource,1.65,1.0,0,0.0,1754455058
4,5,38,hvp,1.65,1.0,0,0.0,1754455472
4,5,42,quiz,1.65,1.0,1,0.0,1754457440
4,5,42,quiz,1.65,1.0,1,0.0,1754457459
4,5,42,quiz,1.65,1.0,1,0.0,1754459224
4,5,38,hvp,1.65,1.0,0,0.0,1754459231
4,5,38,quiz,1.65,1.0,0,0.0,1754459238
4,5,38,resource,1.65,1.0,0,0.0,1754459245
4,5,38,hvp,1.65,1.0,0,0.0,1754459252
4,5,38,resource,1.65,1.0,0,0.0,1754460338
4,5,38,quiz,1.65,1.0,0,0.0,1754460351
4,5,39,hvp,1.65,1.0,0,0.0,1754460822
4,5,39,resource,1.65,1.0,0,0.0,1754460834
4,5,39,quiz,1.65,1.0,0,0.0,1754460844
4,5,39,quiz,1.65,1.0,0,0.0,1754460871
4,5,42,hvp,1.65,1.0,1,0.0,1754461311
4,5,42,quiz,1.65,1.0,1,0.0,1754461324
4,5,42,quiz,1.65,1.0,1,0.0,1754461373
4,5,38,quiz,1.65,1.0,0,0.0,1754461485
4,5,42,quiz,1.65,1.0,1,0.0,1754455048
4,5,38,resource,1.65,1.0,0,0.0,1754455058
4,5,38,hvp,1.65,1.0,0,0.0,1754455472
4,5,42,quiz,1.65,1.0,1,0.0,1754457440
4,5,42,quiz,1.65,1.0,1,0.0,1754457459
4,5,42,quiz,1.65,1.0,1,0.0,1754459224
4,5,38,hvp,1.65,1.0,0,0.0,1754459231
4,5,38,quiz,1.65,1.0,0,0.0,1754459238
4,5,38,resource,1.65,1.0,0,0.0,1754459245
4,5,38,hvp,1.65,1.0,0,0.0,1754459252
4,5,38,resource,1.65,1.0,0,0.0,1754460338
4,5,38,quiz,1.65,1.0,0,0.0,1754460351
4,5,39,hvp,1.65,1.0,0,0.0,1754460822
4,5,39,resource,1.65,1.0,0,0.0,1754460834
4,5,39,quiz,1.65,1.0,0,0.0,1754460844
4,5,39,quiz,1.65,1.0,0,0.0,1754460871
