,Cluster_0,Cluster_1
total_events,0.6755689424333333,0.19812583666666664
\assignsubmission_comments\event\comment_created,0.08333333333333333,0.0
\assignsubmission_file\event\assessable_uploaded,0.5208333333333334,0.17857142856666666
\assignsubmission_file\event\submission_created,0.891025641025,0.38461538463333333
\core\event\badge_listing_viewed,0.08333333333333333,0.0
\core\event\course_module_completion_updated,0.37870370370833334,0.06666666666666667
\core\event\course_user_report_viewed,0.166666666675,0.0
\core\event\recent_activity_viewed,0.16666666666666666,0.0
\core\event\user_list_viewed,0.08333333333333333,0.3333333333333333
\core\event\user_profile_viewed,0.0,0.3333333333333333
\gradereport_overview\event\grade_report_viewed,0.125,0.0
\gradereport_user\event\grade_report_viewed,0.29671717171666667,0.101010101
\mod_assign\event\feedback_viewed,0.30929487179166665,0.14102564103333334
\mod_data\event\course_module_viewed,0.32624113474166666,0.0
\mod_data\event\record_created,0.8333333333333334,0.0
\mod_data\event\record_updated,0.08333333333333333,0.0
\mod_folder\event\course_module_viewed,0.38414634144166665,0.0569105691
\mod_page\event\course_module_viewed,0.4444444444416667,0.027777777766666668
\mod_quiz\event\attempt_reviewed,0.6666666666666666,0.0
\mod_quiz\event\attempt_started,1.0,0.0
\mod_quiz\event\attempt_summary_viewed,0.4722222222166666,0.0
\mod_quiz\event\course_module_viewed,0.5722222222166666,0.13333333333333333
\mod_resource\event\course_module_viewed,0.5704225352083333,0.13145539906666667
\mod_url\event\course_module_viewed,0.3125,0.0
mean_module_grade,0.6992992992916666,0.3423423423333333
