id,timemodified,userid,courseid,finalgrade,itemtype
344726,1674567497,8609,670,9,course
342514,1673982216,8609,670,8,mod
342297,1673939560,8609,670,9,mod
340872,1673639874,8609,670,8,mod
340174,1673270602,8609,670,9,mod
338173,1672747512,8609,670,10,mod
314278,1672742828,8609,670,10,mod
314277,1672742326,8609,670,10,mod
314276,1672747788,8609,670,9,mod
314275,1672745625,8609,670,7,mod
314274,1672668333,8609,670,10,mod
314273,1672666325,8609,670,10,mod
314272,1672662430,8609,670,10,mod
314271,1672661772,8609,670,10,mod
314270,1672672247,8609,670,10,mod
314269,1672670693,8609,670,10,mod
314268,1672743317,8609,670,9,mod
