id,timecreated,eventname,action,target,userid,courseid,other
9242669,2022-09-07 11:03:08,\core\event\course_viewed,viewed,course,9220,670,
9242788,2022-09-07 11:05:32,\mod_page\event\course_module_viewed,viewed,course_module,9220,670,
9246405,2022-09-07 13:24:38,\core\event\course_viewed,viewed,course,9220,670,
9246421,2022-09-07 13:25:10,\core\event\course_viewed,viewed,course,9220,670,
9246424,2022-09-07 13:25:26,\mod_folder\event\course_module_viewed,viewed,course_module,9220,670,
9246426,2022-09-07 13:25:31,\core\event\course_viewed,viewed,course,9220,670,
9246427,2022-09-07 13:25:34,\mod_folder\event\course_module_viewed,viewed,course_module,9220,670,
9259673,2022-09-08 12:12:41,\core\event\course_viewed,viewed,course,9220,670,
9294935,2022-09-12 12:51:47,\core\event\course_viewed,viewed,course,9220,670,
9317769,2022-09-14 07:22:18,\core\event\course_viewed,viewed,course,9220,670,
9317772,2022-09-14 07:22:43,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9317773,2022-09-14 07:22:56,\core\event\course_viewed,viewed,course,9220,670,
9317778,2022-09-14 07:23:19,\core\event\course_viewed,viewed,course,9220,670,
9322687,2022-09-14 11:47:20,\core\event\course_viewed,viewed,course,9220,670,
9322700,2022-09-14 11:47:32,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9322701,2022-09-14 11:47:32,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9322704,2022-09-14 11:47:36,\core\event\course_viewed,viewed,course,9220,670,
9322705,2022-09-14 11:47:36,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9322706,2022-09-14 11:47:37,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9322708,2022-09-14 11:47:42,\core\event\course_viewed,viewed,course,9220,670,
9339879,2022-09-15 17:18:14,\core\event\course_viewed,viewed,course,9220,670,
9354485,2022-09-17 12:01:21,\core\event\course_viewed,viewed,course,9220,670,
9355451,2022-09-17 15:19:54,\core\event\course_viewed,viewed,course,9220,670,
9355452,2022-09-17 15:20:10,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9355453,2022-09-17 15:20:10,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9355454,2022-09-17 15:20:16,\core\event\course_viewed,viewed,course,9220,670,
9382179,2022-09-19 19:50:50,\core\event\course_viewed,viewed,course,9220,670,
9386380,2022-09-20 07:55:51,\core\event\course_viewed,viewed,course,9220,670,
9386382,2022-09-20 07:55:57,\core\event\course_viewed,viewed,course,9220,670,
9386385,2022-09-20 07:56:10,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9386386,2022-09-20 07:56:14,\mod_page\event\course_module_viewed,viewed,course_module,9220,670,
9386387,2022-09-20 07:56:17,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9386388,2022-09-20 07:56:21,\core\event\course_viewed,viewed,course,9220,670,
9386396,2022-09-20 07:57:14,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9386397,2022-09-20 07:57:54,\core\event\course_viewed,viewed,course,9220,670,
9386398,2022-09-20 07:57:57,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9386399,2022-09-20 07:57:57,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9386401,2022-09-20 07:58:06,\core\event\course_viewed,viewed,course,9220,670,
9386404,2022-09-20 07:58:07,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9386405,2022-09-20 07:58:08,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9386410,2022-09-20 07:58:23,\core\event\course_viewed,viewed,course,9220,670,
9386415,2022-09-20 07:59:20,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9386416,2022-09-20 07:59:20,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9387271,2022-09-20 08:38:21,\core\event\course_viewed,viewed,course,9220,670,
9387272,2022-09-20 08:38:23,\mod_page\event\course_module_viewed,viewed,course_module,9220,670,
9387273,2022-09-20 08:38:26,\core\event\course_viewed,viewed,course,9220,670,
9387274,2022-09-20 08:38:28,\mod_folder\event\course_module_viewed,viewed,course_module,9220,670,
9387275,2022-09-20 08:38:30,\mod_folder\event\all_files_downloaded,downloaded,all_files,9220,670,
9387276,2022-09-20 08:38:33,\core\event\course_viewed,viewed,course,9220,670,
9387279,2022-09-20 08:38:38,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9387280,2022-09-20 08:38:38,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9388869,2022-09-20 10:05:56,\core\event\course_viewed,viewed,course,9220,670,
9388883,2022-09-20 10:06:16,\mod_folder\event\course_module_viewed,viewed,course_module,9220,670,
9388892,2022-09-20 10:06:54,\core\event\course_viewed,viewed,course,9220,670,
9388893,2022-09-20 10:06:56,\mod_folder\event\course_module_viewed,viewed,course_module,9220,670,
9389198,2022-09-20 10:22:04,\core\event\course_viewed,viewed,course,9220,670,
9389199,2022-09-20 10:22:10,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9389200,2022-09-20 10:22:15,\core\event\course_viewed,viewed,course,9220,670,
9389238,2022-09-20 10:23:37,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9389239,2022-09-20 10:23:38,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9389269,2022-09-20 10:25:12,\core\event\course_viewed,viewed,course,9220,670,
9389273,2022-09-20 10:25:16,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9389275,2022-09-20 10:25:18,\core\event\course_viewed,viewed,course,9220,670,
9389315,2022-09-20 10:26:27,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9389316,2022-09-20 10:26:27,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9389317,2022-09-20 10:26:28,\core\event\course_viewed,viewed,course,9220,670,
9389431,2022-09-20 10:31:16,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9389798,2022-09-20 10:48:26,\core\event\course_viewed,viewed,course,9220,670,
9389943,2022-09-20 10:50:33,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9389944,2022-09-20 10:50:33,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9390173,2022-09-20 10:56:53,\core\event\course_viewed,viewed,course,9220,670,
9390182,2022-09-20 10:56:54,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9402866,2022-09-21 06:20:56,\core\event\course_viewed,viewed,course,9220,670,
9405521,2022-09-21 09:01:18,\core\event\course_viewed,viewed,course,9220,670,
9405535,2022-09-21 09:01:32,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9405536,2022-09-21 09:01:32,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9405587,2022-09-21 09:02:16,\core\event\course_viewed,viewed,course,9220,670,
9405619,2022-09-21 09:02:23,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
9405637,2022-09-21 09:02:30,\core\event\course_viewed,viewed,course,9220,670,
9405655,2022-09-21 09:02:42,\mod_assign\event\course_module_viewed,viewed,course_module,9220,670,
9405656,2022-09-21 09:02:42,\mod_assign\event\submission_status_viewed,viewed,submission_status,9220,670,{'assignid': '****'}
9405675,2022-09-21 09:03:18,\core\event\course_viewed,viewed,course,9220,670,
9405686,2022-09-21 09:03:27,\mod_resource\event\course_module_viewed,viewed,course_module,9220,670,
