id,timecreated,eventname,action,target,userid,courseid,other
9238371,2022-09-07 06:15:24,\core\event\course_viewed,viewed,course,8609,670,
9242554,2022-09-07 11:00:47,\core\event\course_viewed,viewed,course,8609,670,
9242780,2022-09-07 11:05:25,\mod_page\event\course_module_viewed,viewed,course_module,8609,670,
9242936,2022-09-07 11:08:30,\core\event\course_viewed,viewed,course,8609,670,
9282631,2022-09-11 10:30:12,\core\event\course_viewed,viewed,course,8609,670,
9282772,2022-09-11 10:56:46,\core\event\course_viewed,viewed,course,8609,670,
9282775,2022-09-11 10:57:05,\mod_page\event\course_module_viewed,viewed,course_module,8609,670,
9282887,2022-09-11 11:16:55,\core\event\course_viewed,viewed,course,8609,670,
9282990,2022-09-11 11:37:47,\core\event\course_viewed,viewed,course,8609,670,
9312373,2022-09-13 16:36:39,\core\event\course_viewed,viewed,course,8609,670,
9319743,2022-09-14 09:05:58,\core\event\course_viewed,viewed,course,8609,670,
9321244,2022-09-14 10:44:41,\core\event\course_viewed,viewed,course,8609,670,
9321245,2022-09-14 10:44:48,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9321246,2022-09-14 10:44:48,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9321250,2022-09-14 10:44:58,\core\event\course_viewed,viewed,course,8609,670,
9321251,2022-09-14 10:45:01,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9321252,2022-09-14 10:45:01,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9321255,2022-09-14 10:45:15,\core\event\course_viewed,viewed,course,8609,670,
9321326,2022-09-14 10:49:24,\core\event\course_viewed,viewed,course,8609,670,
9321647,2022-09-14 11:02:51,\mod_resource\event\course_module_viewed,viewed,course_module,8609,670,
9321730,2022-09-14 11:04:53,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9321731,2022-09-14 11:04:54,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9321740,2022-09-14 11:05:01,\core\event\course_viewed,viewed,course,8609,670,
9322078,2022-09-14 11:31:07,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9322079,2022-09-14 11:31:07,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9322082,2022-09-14 11:31:51,\core\event\course_viewed,viewed,course,8609,670,
9322772,2022-09-14 11:49:51,\core\event\course_viewed,viewed,course,8609,670,
9322946,2022-09-14 12:03:34,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9322947,2022-09-14 12:03:34,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9322951,2022-09-14 12:03:42,\core\event\course_viewed,viewed,course,8609,670,
9327187,2022-09-14 18:35:30,\core\event\course_viewed,viewed,course,8609,670,
9331088,2022-09-15 06:58:53,\core\event\course_viewed,viewed,course,8609,670,
9337649,2022-09-15 14:01:26,\core\event\course_viewed,viewed,course,8609,670,
9339617,2022-09-15 16:46:40,\core\event\course_viewed,viewed,course,8609,670,
9342585,2022-09-16 05:42:50,\core\event\course_viewed,viewed,course,8609,670,
9348405,2022-09-16 15:05:00,\core\event\course_viewed,viewed,course,8609,670,
9348762,2022-09-16 15:46:48,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9348763,2022-09-16 15:46:48,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9348766,2022-09-16 15:46:55,\core\event\course_viewed,viewed,course,8609,670,
9348767,2022-09-16 15:46:59,\mod_resource\event\course_module_viewed,viewed,course_module,8609,670,
9348837,2022-09-16 15:59:57,\core\event\course_viewed,viewed,course,8609,670,
9355258,2022-09-17 14:11:16,\core\event\course_viewed,viewed,course,8609,670,
9355263,2022-09-17 14:13:17,\mod_page\event\course_module_viewed,viewed,course_module,8609,670,
9355264,2022-09-17 14:13:21,\core\event\course_viewed,viewed,course,8609,670,
9355265,2022-09-17 14:13:24,\mod_resource\event\course_module_viewed,viewed,course_module,8609,670,
9363039,2022-09-18 12:32:05,\core\event\course_viewed,viewed,course,8609,670,
9363040,2022-09-18 12:32:13,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9363041,2022-09-18 12:32:13,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9363045,2022-09-18 12:32:36,\core\event\course_viewed,viewed,course,8609,670,
9363245,2022-09-18 13:19:57,\core\event\course_viewed,viewed,course,8609,670,
9363247,2022-09-18 13:20:20,\mod_page\event\course_module_viewed,viewed,course_module,8609,670,
9363497,2022-09-18 14:17:31,\core\event\course_viewed,viewed,course,8609,670,
9363498,2022-09-18 14:17:37,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9363499,2022-09-18 14:17:37,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9365346,2022-09-18 17:53:39,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9365347,2022-09-18 17:53:40,\mod_assign\event\submission_form_viewed,viewed,submission_form,8609,670,{'assignid': '****'}
9365348,2022-09-18 17:53:43,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9365349,2022-09-18 17:53:44,\mod_assign\event\submission_form_viewed,viewed,submission_form,8609,670,{'assignid': '****'}
9365350,2022-09-18 17:54:04,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9365351,2022-09-18 17:54:04,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8609,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9365352,2022-09-18 17:54:04,\assignsubmission_file\event\submission_created,created,submission,8609,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9365353,2022-09-18 17:54:04,\core\event\course_module_completion_updated,updated,course_module_completion,8609,670,"{'relateduserid': 8609, 'overrideby': None, 'completionstate': 1}"
9365354,2022-09-18 17:54:04,\mod_assign\event\assessable_submitted,submitted,assessable,8609,670,{'submission_editable': True}
9365355,2022-09-18 17:54:04,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9365356,2022-09-18 17:54:05,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9377460,2022-09-19 14:58:36,\core\event\course_viewed,viewed,course,8609,670,
9377524,2022-09-19 15:00:57,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9377525,2022-09-19 15:00:57,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9378059,2022-09-19 15:39:00,\core\event\course_viewed,viewed,course,8609,670,
9378060,2022-09-19 15:39:04,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9378061,2022-09-19 15:39:04,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9378346,2022-09-19 16:09:12,\core\event\course_viewed,viewed,course,8609,670,
9378350,2022-09-19 16:09:19,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9378351,2022-09-19 16:09:19,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9378369,2022-09-19 16:10:21,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9378370,2022-09-19 16:10:21,\mod_assign\event\submission_form_viewed,viewed,submission_form,8609,670,{'assignid': '****'}
9378373,2022-09-19 16:10:36,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9378374,2022-09-19 16:10:36,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8609,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
9378375,2022-09-19 16:10:36,\assignsubmission_onlinetext\event\submission_created,created,submission,8609,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
9378376,2022-09-19 16:10:36,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8609,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9378377,2022-09-19 16:10:36,\assignsubmission_file\event\submission_created,created,submission,8609,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9378378,2022-09-19 16:10:36,\core\event\course_module_completion_updated,updated,course_module_completion,8609,670,"{'relateduserid': '****', 'overrideby': None, 'completionstate': 1}"
9378379,2022-09-19 16:10:36,\mod_assign\event\assessable_submitted,submitted,assessable,8609,670,{'submission_editable': True}
9378380,2022-09-19 16:10:36,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9378381,2022-09-19 16:10:36,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9378392,2022-09-19 16:11:47,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9378393,2022-09-19 16:11:47,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9390878,2022-09-20 11:11:56,\core\event\course_viewed,viewed,course,8609,670,
9395357,2022-09-20 13:09:44,\core\event\course_viewed,viewed,course,8609,670,
9395375,2022-09-20 13:10:19,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9395376,2022-09-20 13:10:19,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9395377,2022-09-20 13:10:22,\core\event\course_viewed,viewed,course,8609,670,
9395378,2022-09-20 13:10:25,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9395379,2022-09-20 13:10:25,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9395380,2022-09-20 13:10:29,\core\event\course_viewed,viewed,course,8609,670,
9404736,2022-09-21 08:16:50,\core\event\course_viewed,viewed,course,8609,670,
9407954,2022-09-21 11:06:51,\core\event\course_viewed,viewed,course,8609,670,
9407959,2022-09-21 11:06:56,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9407960,2022-09-21 11:06:56,\mod_assign\event\submission_status_viewed,viewed,submission_status,8609,670,{'assignid': '****'}
9408140,2022-09-21 11:11:08,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9408141,2022-09-21 11:11:09,\mod_assign\event\submission_form_viewed,viewed,submission_form,8609,670,{'assignid': '****'}
9408166,2022-09-21 11:11:34,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
9408167,2022-09-21 11:11:35,\assignsubmission_onlinetext\event\assessable_uploaded,uploaded,assessable,8609,670,"{'pathnamehashes': {}, 'content': '', 'format': '*'}"
9408168,2022-09-21 11:11:35,\assignsubmission_onlinetext\event\submission_updated,updated,submission,8609,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'onlinetextwordcount': 0, 'groupid': 0, 'groupname': None}"
9408169,2022-09-21 11:11:35,\assignsubmission_file\event\assessable_uploaded,uploaded,assessable,8609,670,"{'content': '', 'pathnamehashes': {'0': 'bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb'}}"
9408170,2022-09-21 11:11:35,\assignsubmission_file\event\submission_updated,updated,submission,8609,670,"{'submissionid': '*****', 'submissionattempt': '*', 'submissionstatus': '*********', 'filesubmissioncount': 1, 'groupid': 0, 'groupname': None}"
9408171,2022-09-21 11:11:35,\mod_assign\event\assessable_submitted,submitted,assessable,8609,670,{'submission_editable': True}
9408172,2022-09-21 11:11:35,\mod_assign\event\course_module_viewed,viewed,course_module,8609,670,
