userid,total_events,first_event,last_event,event_diversity,num_courses,active_days,avg_grade,grade_std,num_assessments
3,2655,1662362711,1674590226,56,17,141,-0.6666666666666666,0.5773502691896258,3
4,2655,1662038222,1674557248,56,17,144,0.0,0.0,2
203,2655,1662454980,1674053165,56,17,134,-1.0,0.0,2
231,2655,1662374274,1674569682,56,17,141,0.0,0.0,2
702,848,1662086388,1674484921,21,17,143,0.0,0.0,2
1821,2484,1662481705,1674599886,35,17,140,0.0,0.0,2
2143,2608,1662441680,1674599184,46,17,140,3.3333333333333335,5.163977794943222,6
3631,2655,1662101597,1674594551,54,17,144,-1.0,3.6620642110310255,1
6339,2655,1662042880,1674467330,43,17,143,8.5,0.7071067811865476,2
6968,6,1662669550,1662669608,4,2,57,6.5,2.1213203435596424,2
6975,779,1664304230,1674579555,23,11,118,4.64,4.742362280551751,25
6976,2522,1662452005,1674313753,38,11,137,6.9411764705882355,3.4545366591500755,17
6985,322,1664376576,1674591254,18,9,118,3.9583333333333335,4.610754598871479,24
6996,717,1663136555,1669548383,14,6,74,9.0,1.0,3
7004,345,1662454341,1674598560,18,6,140,9.0,0.4472135954999578,11
7006,349,1664284993,1674575591,23,9,119,5.2,4.427188724235731,15
7009,240,1662649268,1670524160,22,10,91,9.125,0.9910312089651148,8
7011,543,1664191603,1674446374,27,9,118,7.818181818181818,2.088931871468374,11
7012,357,1663233888,1674112378,23,8,125,4.0,4.69041575982343,6
7023,654,1662795057,1674544839,34,8,135,7.315789473684211,4.2038690060327815,19
7025,707,1662120927,1673686042,25,13,133,6.571428571428571,4.164211731007363,14
7030,809,1663249617,1673296634,39,10,116,5.0,5.325752187591567,12
7041,631,1664346783,1674320386,20,7,115,4.090909090909091,5.0705253448461605,33
7043,954,1662728263,1674406600,33,6,135,5.03125,3.587472603020036,32
7044,824,1662913425,1674073613,32,11,129,7.043478260869565,4.353454854475981,23
7047,685,1662627724,1674583868,29,11,138,5.6,4.393775501535637,20
7078,595,1666009622,1674473566,18,12,97,7.117647058823529,3.3705035406667436,17
7084,131,1662458426,1674288924,18,8,136,9.125,0.9910312089651148,8
7093,969,1662215896,1674145969,35,10,138,8.526315789473685,1.466985611253815,19
7101,210,1667815115,1673257103,27,9,62,7.583333333333333,1.3789543689024493,12
7112,720,1664015614,1674550157,32,8,121,5.7368421052631575,5.300336522473077,19
7123,656,1662119954,1672383963,22,13,118,7.363636363636363,2.975658826973525,11
7135,197,1662907058,1674412987,18,10,133,7.555555555555555,3.431876713662334,9
7143,963,1662185445,1674137615,27,7,138,7.333333333333333,4.743416490252569,9
7148,13,1669603158,1671126063,4,5,57,9.0,3.6620642110310255,1
7159,311,1662443272,1669104969,23,5,77,6.181818181818182,3.6556307750696546,11
7160,318,1662972066,1673858952,25,9,126,9.181818181818182,0.6030226891555274,11
7161,25,1663136532,1668521713,4,4,62,9.0,3.6620642110310255,1
7162,251,1663226347,1674141057,23,9,126,6.083333333333333,4.35802985790876,12
7179,887,1664346535,1674571670,24,11,118,4.923076923076923,4.577537127522414,26
7185,476,1662916672,1674466046,22,12,133,9.090909090909092,0.9438798074485388,11
7186,317,1663652820,1671564836,23,9,91,8.307692307692308,0.9473309334313416,13
7187,2655,1662365581,1674489857,56,17,140,5.0,5.656854249492381,2
7191,263,1662383931,1673972615,20,11,134,9.416666666666666,0.6685579234215215,12
7192,249,1663057651,1671462706,17,8,97,8.333333333333334,0.8660254037844386,9
7198,426,1663227753,1672208419,36,4,103,7.2,2.485513584307633,10
7238,311,1662983808,1672740012,20,12,112,6.588235294117647,4.3740545196849645,17
7240,870,1663927860,1674580032,35,12,123,5.5625,4.257835913544188,16
7246,229,1663054331,1673701068,19,7,123,7.230769230769231,3.722764343733613,13
7252,479,1662467665,1673518510,24,10,127,9.636363636363637,0.9244162777371752,11
7253,832,1662153839,1674599568,22,5,144,6.545454545454546,3.804303782918403,11
7262,451,1662973540,1674154456,25,9,129,6.2,3.9384147967311818,10
7267,409,1662492245,1669293662,19,9,78,-0.6428571428571429,0.9114207758701964,28
7276,361,1665473729,1671016757,24,6,64,9.333333333333334,0.6513389472789295,12
7289,996,1664002605,1674153929,29,14,117,5.52,4.574567374808974,25
7297,110,1664815919,1672741491,9,7,91,9.6,0.5477225575051661,5
7303,13,1670269814,1673441798,6,2,57,9.0,1.0,3
7308,1936,1662649456,1674563930,26,10,137,9.25,0.7071067811865476,8
7314,454,1662628190,1674591644,30,11,138,4.444444444444445,5.04360074715793,18
7315,1263,1664048004,1674585622,28,9,121,8.363636363636363,2.2482316283126735,11
7316,961,1663005895,1674478663,25,10,132,9.454545454545457,0.6875516509523286,11
7324,16,1673713542,1674402725,4,5,57,2.8,5.215361924162119,5
7325,612,1662836177,1674563180,22,12,135,4.833333333333333,5.201980974648606,12
7331,451,1662450080,1674458166,23,10,138,9.181818181818182,1.0787197799411876,11
7336,252,1663519147,1674502364,20,11,127,7.272727272727272,3.133397807202561,11
7339,232,1663611352,1673337260,22,12,112,8.428571428571429,2.7932414507517613,14
7347,684,1663009428,1674033049,34,15,127,7.904761904761905,3.6729383591991014,21
7351,4,1673441443,1673441443,4,2,57,8.5,0.7071067811865476,2
7366,218,1663350584,1672607714,20,11,107,8.8,0.6324555320336759,10
7376,128,1663232784,1670700891,22,12,86,8.8,1.6193277068654823,10
7388,18,1669838640,1673014824,6,2,57,9.5,0.7071067811865476,2
7400,210,1668026292,1672854855,22,10,57,6.090909090909091,3.207944683268259,11
7402,11,1664539204,1664539417,4,2,57,0.0,3.6620642110310255,1
7416,575,1664216171,1674494307,23,6,118,5.714285714285714,3.946064947695181,7
7417,83,1664442615,1673006537,12,7,99,9.8,0.4472135954999577,5
7425,538,1663402481,1674551073,19,8,129,4.5,3.295017884191656,8
7426,306,1662107816,1672843463,24,11,124,8.571428571428571,0.8516306272526402,14
7438,559,1664789421,1674407799,22,12,111,8.933333333333334,0.9611501047232548,15
7443,8,1662228055,1670866771,3,2,99,9.5,0.7071067811865476,2
7446,583,1662015708,1674150787,23,8,140,5.611111111111111,4.367512266576112,18
7460,77,1664270015,1671044498,7,6,78,8.5,2.1213203435596424,2
7462,1031,1662711632,1673293194,28,10,122,6.6923076923076925,3.881250129030924,13
7469,2,1662374310,1662374310,2,1,57,0.0,3.6620642110310255,1
7477,212,1663260971,1670932308,23,11,88,9.1,1.286683937707919,10
7484,798,1664300691,1674379023,33,13,116,9.066666666666666,0.7037315505489972,15
7486,474,1662651448,1672839284,23,13,117,9.363636363636363,0.9244162777371752,11
7487,92,1663843555,1670225408,18,4,73,8.090909090909092,3.1766191290283907,11
7489,70,1668599130,1670443157,15,3,57,9.0,3.6620642110310255,1
7492,1301,1662374883,1674587536,26,6,141,6.545454545454546,3.958879547640629,11
7501,383,1663658613,1672946996,23,9,107,7.384615384615385,0.8697184926229042,13
7504,1220,1664286139,1674577383,25,11,119,5.148148148148148,4.96684161912937,27
7511,422,1662629830,1674580122,25,11,138,5.533333333333333,4.793845260430543,15
7531,679,1664298515,1673951568,24,11,111,7.875,3.5566838487557484,16
7534,296,1663406138,1673962278,20,6,122,6.9,4.254409477236529,10
7537,56,1663644197,1674391327,6,7,124,9.0,1.4142135623730951,2
7560,334,1664819583,1674396036,29,8,110,5.5,4.370354676682431,6
7566,980,1662758430,1674304386,28,6,133,5.416666666666667,5.664215155988809,12
7577,179,1668439221,1671525795,23,8,57,8.454545454545455,1.1281521496355322,11
7580,1242,1663830608,1674221470,29,11,120,6.785714285714286,4.306387528424903,28
7584,11,1663494379,1673516305,5,4,115,8.5,0.7071067811865476,2
7587,31,1662041379,1670240324,10,2,94,9.0,3.6620642110310255,1
7596,347,1665582136,1674409355,37,6,102,5.111111111111111,3.723051317281446,9
7608,907,1663243202,1674585241,33,13,131,7.75,3.1959796173138706,8
7611,294,1662111377,1673007392,13,7,126,9.25,0.957427107756338,4
7631,18,1665607118,1667303940,7,3,57,9.0,1.0,3
7632,533,1662630943,1674205324,22,8,133,9.090909090909092,1.7580981459830651,11
7639,1122,1663044391,1674476175,18,8,132,8.545454545454545,1.293339581365727,11
