userid,total_events,first_event,last_event,event_diversity,num_courses,active_days,avg_grade,grade_std,num_assessments,cluster,archetype
3,2.1963120284382143,1662362711,1674590226,2.6112482768008465,2.634093868771327,0.962266150384258,-2.4214447334228124,-1.675420057319338,-1.2309871221475377,1,Struggling but Trying
4,2.1963120284382143,1662038222,1674557248,2.6112482768008465,2.634093868771327,1.0776715483810737,-2.168945212277327,-2.042382115686888,-1.331111376971584,1,Struggling but Trying
203,2.1963120284382143,1662454980,1674053165,2.6112482768008465,2.634093868771327,0.6929868883916885,-2.5476944939955546,-2.042382115686888,-1.331111376971584,1,Struggling but Trying
231,2.1963120284382143,1662374274,1674569682,2.6112482768008465,2.634093868771327,0.962266150384258,-2.168945212277327,-2.042382115686888,-1.331111376971584,1,Struggling but Trying
702,-0.0632281936847677,1662086388,1674484921,-0.6002175990962344,2.634093868771327,1.039203082382135,-2.168945212277327,-2.042382115686888,-1.331111376971584,1,Struggling but Trying
1821,1.982487248148768,1662481705,1674599886,0.6843687512625979,2.634093868771327,0.9237976843853194,-2.168945212277327,-2.042382115686888,-1.331111376971584,1,Struggling but Trying
2143,2.1375414747914077,1662441680,1674599184,1.693686597973109,2.634093868771327,0.9237976843853194,-0.9064476065499024,1.2398263150054616,-0.930614357675397,1,Struggling but Trying
3631,2.1963120284382143,1662101597,1674594551,2.4277359410352988,2.634093868771327,1.0776715483810737,-2.5476944939955546,0.2852146526324681,-1.431235631795631,1,Struggling but Trying
6339,2.1963120284382143,1662042880,1674467330,1.4184180943247875,2.634093868771327,1.039203082382135,1.050423682327606,-1.5929472167059304,-1.331111376971584,1,Struggling but Trying
6968,-1.116096410080756,1662669550,1662669608,-2.160072453103388,-2.382797336335352,-2.2690849935265756,0.2929251188911512,-0.6940774187440146,-1.331111376971584,0,Efficient Learner
6975,-0.1495083681875268,1664304230,1674579555,-0.4167052633306869,0.6273373867286552,0.0774914324086726,-0.4115485451047519,0.971848788610696,0.971746483981492,1,Struggling but Trying
6976,2.0300038659908672,1662452005,1674313753,0.9596372549109192,0.6273373867286552,0.8083922863885039,0.4600203902374282,0.1533107778614327,0.1707524453891176,1,Struggling but Trying
6985,-0.7209582196043519,1664376576,1674591254,-0.8754861027445556,-0.0415814406189019,0.0774914324086726,-0.6697293054760102,0.8881993502304883,0.8716222291574452,1,Struggling but Trying
6996,-0.2270354815088466,1663136555,1669548383,-1.2425107742756505,-1.0449596816402376,-1.615121071544621,1.23979832318672,-1.4067851861442355,-1.2309871221475377,0,Efficient Learner
7004,-0.6921981614367655,1662454341,1674598560,-0.8754861027445556,-1.0449596816402376,0.9237976843853194,1.23979832318672,-1.7581345275373852,-0.4299930835551631,0,Efficient Learner
7006,-0.6871964121902288,1664284993,1674575591,-0.4167052633306869,-0.0415814406189019,0.1159598984076111,-0.1994489473425443,0.7715254439431957,-0.0294960642589758,1,Struggling but Trying
7009,-0.8234940791583555,1662649268,1670524160,-0.5084614312134607,0.2928779730548767,-0.9611571495626666,1.2871419834014983,-1.4124857221877185,-0.7303658480273034,0,Efficient Learner
7011,-0.4446115737331958,1664191603,1674446374,-0.0496805917995919,-0.0415814406189019,0.0774914324086726,0.792185535701542,-0.7146634321578027,-0.4299930835551631,0,Efficient Learner
7012,-0.6771929136971553,1663233888,1674112378,-0.4167052633306869,-0.3760408542926805,0.3467706944012421,-0.6539480854044174,0.9388317395353516,-0.930614357675397,0,Efficient Learner
7023,-0.3058130321418006,1662795057,1674544839,0.5926125833798241,-0.3760408542926805,0.731455354390627,0.6019047960823368,0.6295841167470705,0.3710009550372112,1,Struggling but Trying
