Cluster,Lesson,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
0,0,0.25,0.5,0,0,6,view_content (current),115.10283209496271
0,0,0.25,0.5,0,0,10,review_quiz (current),115.52260892266058
0,0,0.25,0.5,0,0,11,post_forum (current),114.40740812678735
0,0,0.25,0.5,0,0,5,view_assignment (current),114.16814312871944
0,0,0.25,0.5,0,0,9,submit_quiz (current),120.6688810017808
0,0,0.25,0.5,0,0,0,view_assignment (past),115.21573859140383
0,0,0.25,0.5,0,0,14,post_forum (future),113.81005592235893
0,0,0.25,0.5,0,0,2,attempt_quiz (past),115.68211171033582
0,0,0.25,0.5,0,0,7,submit_assignment (current),122.11477553867212
0,0,0.25,0.5,0,0,3,review_quiz (past),114.87956689291131
0,0,0.25,0.5,0,0,13,attempt_quiz (future),114.62130865343633
0,0,0.25,0.5,0,0,12,view_content (future),114.8307345723955
0,0,0.25,0.5,0,0,1,view_content (past),113.85458689435976
0,0,0.25,0.5,0,0,4,post_forum (past),115.34559065237823
0,0,0.25,0.5,0,0,8,attempt_quiz (current),115.18136256590753
0,0,0.5,0.5,0,0,4,post_forum (past),87.77555404557678
0,0,0.5,0.5,0,0,6,view_content (current),101.57632859244237
0,0,0.5,0.5,0,0,9,submit_quiz (current),110.01956779377308
0,0,0.5,0.5,0,0,2,attempt_quiz (past),99.10930844520362
0,0,0.5,0.5,0,0,10,review_quiz (current),107.26089712579163
0,0,0.5,0.5,0,0,13,attempt_quiz (future),94.46344970386959
0,0,0.5,0.5,0,0,12,view_content (future),95.93896326503888
0,0,0.5,0.5,0,0,0,view_assignment (past),99.01137790620459
0,0,0.5,0.5,0,0,1,view_content (past),90.97995427180014
0,0,0.5,0.5,0,0,3,review_quiz (past),96.99470315183568
0,0,0.5,0.5,0,0,14,post_forum (future),98.33732749762014
0,0,0.5,0.5,0,0,11,post_forum (current),100.73562370860726
0,0,0.5,0.5,0,0,7,submit_assignment (current),122.78488284321041
0,0,0.5,0.5,0,0,5,view_assignment (current),101.75650388273893
0,0,0.5,0.5,0,0,8,attempt_quiz (current),102.67063775636569
0,0,0.75,0.75,0,1,1,view_content (past),93.09160277738145
0,0,0.75,0.75,0,1,8,attempt_quiz (current),102.45006489883762
