id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
16051,\mod_hvp\event\course_module_viewed,mod_hvp,viewed,course_module,hvp,8,r,2,293,70,61,3,2,,0,null,1761607875,web,1.53.51.79,
16048,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,52,u,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""2""}",1761607872,web,1.53.51.79,
16049,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""2""}",1761607872,web,1.53.51.79,
16050,\mod_quiz\event\attempt_reviewed,mod_quiz,reviewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31""}",1761607872,web,1.53.51.79,
16045,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607869,web,1.53.51.79,
16046,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,52,u,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""1""}",1761607869,web,1.53.51.79,
16047,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""1""}",1761607869,web,1.53.51.79,
16044,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,52,u,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607868,web,1.53.51.79,
16043,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607866,web,1.53.51.79,
16042,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607865,web,1.53.51.79,
16034,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607770,web,1.53.51.79,
16035,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607770,web,1.53.51.79,
16009,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607142,web,1.53.51.79,
16007,\mod_quiz\event\attempt_preview_started,mod_quiz,started,attempt_preview,quiz_attempts,52,c,1,295,70,63,3,2,3,0,"{""quizid"":""31""}",1761607138,web,1.53.51.79,
16008,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,52,r,2,295,70,63,3,2,3,0,"{""quizid"":""31"",""page"":""0""}",1761607138,web,1.53.51.79,
16005,\core\event\section_viewed,core,viewed,section,course_sections,15,r,2,14,50,2,3,2,,0,null,1761607128,web,1.53.51.79,
16004,\mod_hvp\event\course_module_viewed,mod_hvp,viewed,course_module,hvp,7,r,2,287,70,55,3,2,,0,null,1761607124,web,1.53.51.79,
16003,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,3,2,,0,"{""coursesectionnumber"":1}",1761607118,web,1.53.51.79,
16002,\core\event\section_viewed,core,viewed,section,course_sections,15,r,2,14,50,2,3,2,,0,null,1761607110,web,1.53.51.79,
16001,\mod_hvp\event\course_module_viewed,mod_hvp,viewed,course_module,hvp,7,r,2,287,70,55,3,2,,0,null,1761607106,web,1.53.51.79,
15999,\core\event\course_viewed,core,viewed,course,,,r,2,14,50,2,3,2,,0,"{""coursesectionnumber"":1}",1761607100,web,1.53.51.79,
15998,\core\event\course_user_report_viewed,core,viewed,course_user_report,,,r,2,14,50,2,3,2,3,0,"{""mode"":""grade""}",1761607095,web,1.53.51.79,
15997,\mod_quiz\event\attempt_reviewed,mod_quiz,reviewed,attempt,quiz_attempts,51,r,2,288,70,56,3,2,3,0,"{""quizid"":""27""}",1761607090,web,1.53.51.79,
15995,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,51,u,2,288,70,56,3,2,3,0,"{""quizid"":""27"",""page"":""2""}",1761607085,web,1.53.51.79,
15996,\mod_quiz\event\attempt_viewed,mod_quiz,viewed,attempt,quiz_attempts,51,r,2,288,70,56,3,2,3,0,"{""quizid"":""27"",""page"":""2""}",1761607085,web,1.53.51.79,
15993,\mod_quiz\event\attempt_updated,mod_quiz,updated,attempt,quiz_attempts,51,u,2,288,70,56,3,2,3,0,"{""quizid"":""27"",""page"":""1""}",1761607081,web,1.53.51.79,
