Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Thread Group:Get login page,20,131,120,169,13.48,0.000%,1.05147,19.72,0.14,19204.0
Thread Group:Login,20,476,441,518,19.49,0.000%,.41599,88.16,0.42,217003.2
Thread Group:test login,20,352,316,387,12.81,0.000%,.27841,58.04,0.15,213481.0
Thread Group:View Chủ đề 1,47,306,283,345,15.26,0.000%,.06192,16.05,0.02,265395.0
Thread Group:View Section 1,21,316,294,368,19.55,0.000%,.15724,49.44,0.05,321959.0
Thread Group:View Bài 1,21,270,258,309,13.34,0.000%,.19500,37.08,0.06,194731.0
Thread Group:View pdf bai 1,26,510,449,646,39.22,0.000%,.24047,1323.17,0.08,5634395.0
Thread Group:Start Quiz 1,7,354,334,375,14.96,0.000%,.09180,14.40,0.06,160664.7
Thread Group:Get bộ câu hỏi easy 1,20,295,277,419,29.71,0.000%,.12306,19.04,0.05,158461.6
Thread Group:Start Quiz easy bai 1,13,381,343,614,69.34,0.000%,.11260,17.64,0.07,160442.0
Thread Group:Submit câu 1,25,371,348,460,24.22,0.000%,.04893,7.68,0.04,160645.6
Thread Group:View video 1,10,297,268,435,48.26,0.000%,.15296,23.73,0.04,158862.0
Thread Group:Submit câu 2,25,372,346,476,26.04,0.000%,.05048,7.92,0.04,160638.8
Thread Group:Submit câu 3,25,368,347,441,24.95,0.000%,.05173,8.11,0.04,160638.8
Thread Group:Submit Quiz,33,381,353,580,38.56,0.000%,.07073,11.43,0.05,165414.0
Thread Group:Set grade,20,265,220,330,22.14,0.000%,.03956,6.15,0.02,159331.0
Thread Group:Debug Sampler,20,0,0,7,1.49,0.000%,.04193,0.04,0.00,920.5
Thread Group:View Grade,13,333,280,507,78.16,0.000%,.14318,34.26,0.04,245060.2
Thread Group:View bài 2,42,267,215,373,21.77,0.000%,.10077,19.14,0.03,194483.0
Thread Group:View pdf bai 2,76,544,447,901,68.09,0.000%,.18796,1180.18,0.06,6429496.0
Thread Group:Start Quiz easy bài 2,8,388,356,424,21.23,0.000%,.15169,23.70,0.10,160024.5
Thread Group:View video bai 1,34,279,264,319,12.50,0.000%,.10191,15.81,0.03,158862.0
Thread Group:Start Quiz medium bài 2,5,399,374,466,33.76,0.000%,.04239,6.63,0.03,160096.0
Thread Group:Get bộ câu hỏi medium bài 2,5,304,277,379,37.57,0.000%,.04151,6.41,0.02,158130.0
Thread Group:View video bai 2,5,299,283,342,22.15,0.000%,.04827,7.49,0.01,158886.0
TOTAL,561,349,0,901,127.26,0.000%,.69188,863.01,0.31,1277281.5
