userid,courseid,avg_time_per_quiz,avg_resource_views_per_day,quiz_success_rate,avg_quiz_score,resource_vs_quiz_ratio,cluster
1,5,21.73,12.14,0.78,8.35,1.99,0
2,5,21.73,12.14,0.78,8.35,1.99,0
3,5,21.73,12.14,0.78,8.35,1.99,0
4,5,21.73,12.14,0.78,8.35,1.99,0
5,5,10.54,16.92,0.77,6.89,2.76,0
6,5,20.49,13.55,0.76,6.99,2.19,0
7,5,21.58,20.12,0.89,7.86,3.61,1
8,5,12.89,17.22,0.92,10.0,3.19,1
9,5,14.61,16.44,0.9,10.0,2.98,1
10,5,14.85,9.0,0.69,6.85,1.37,0
11,5,15.32,14.86,0.89,9.55,2.67,1
12,5,23.95,12.74,0.8,7.75,2.12,0
13,5,15.08,11.12,0.64,5.46,1.63,0
14,5,14.91,14.72,0.85,7.73,2.56,1
15,5,16.08,14.4,0.8,8.82,2.39,1
16,5,24.76,11.63,0.71,6.88,1.8,0
17,5,22.58,13.23,0.8,6.97,2.21,0
18,5,16.27,17.88,0.85,8.01,3.1,1
19,5,19.17,13.04,0.64,4.92,1.92,0
20,5,18.17,13.38,0.67,6.95,2.01,0
21,5,20.41,12.69,0.67,6.51,1.91,0
22,5,15.48,13.48,0.73,8.28,2.12,0
23,5,10.29,19.54,0.96,8.64,3.77,1
24,5,13.83,14.55,0.76,9.09,2.35,0
25,5,13.54,20.77,0.93,10.0,3.88,1
26,5,24.9,14.01,0.81,6.69,2.36,0
27,5,20.14,18.22,0.86,8.77,3.19,1
28,5,18.7,13.33,0.84,8.67,2.31,1
29,5,22.08,10.44,0.57,6.4,1.46,0
30,5,15.75,15.79,0.73,6.67,2.48,0
31,5,17.14,15.1,0.9,10.0,2.74,1
32,5,14.47,19.56,0.95,10.0,3.72,1
33,5,11.52,13.6,0.86,9.4,2.38,1
34,5,13.75,14.42,0.73,7.19,2.27,0
35,5,13.5,14.9,0.83,8.23,2.54,1
36,5,18.15,16.17,0.85,9.8,2.8,1
37,5,24.38,15.98,0.89,10.0,2.88,1
38,5,16.34,14.14,0.86,7.27,2.48,0
39,5,13.36,16.51,0.9,8.62,3.01,1
40,5,24.49,16.16,0.81,7.53,2.71,1
41,5,17.44,11.8,0.77,8.46,1.93,0
42,5,11.39,14.1,0.73,8.76,2.21,0
43,5,13.14,18.39,0.89,7.89,3.32,1
44,5,23.03,16.92,0.9,7.59,3.09,1
45,5,23.54,16.73,0.79,8.42,2.77,1
46,5,23.89,14.53,0.75,8.07,2.32,0
47,5,18.65,10.34,0.69,6.03,1.57,0
48,5,20.09,18.6,0.81,8.62,3.13,1
49,5,24.11,6.44,0.58,5.03,0.91,0
50,5,16.88,13.73,0.79,7.6,2.27,0
51,5,20.49,15.37,0.75,7.45,2.46,0
52,5,13.89,11.45,0.68,5.33,1.73,0
53,5,19.16,17.76,0.84,7.63,3.07,1
54,5,10.14,17.75,0.85,9.64,3.09,1
55,5,22.74,20.02,0.93,9.5,3.75,1
56,5,11.6,16.11,0.85,9.11,2.79,1
57,5,22.74,12.79,0.68,5.84,1.94,0
58,5,23.8,16.86,0.8,9.2,2.8,1
59,5,16.35,14.02,0.79,7.65,2.31,0
60,5,14.48,16.26,0.93,10.0,3.04,1
61,5,24.89,9.92,0.56,4.99,1.38,0
62,5,18.82,12.77,0.68,7.44,1.94,0
63,5,14.14,13.1,0.79,8.17,2.17,0
64,5,18.32,13.04,0.8,8.26,2.18,0
65,5,13.61,10.33,0.69,7.04,1.58,0
66,5,19.44,16.88,0.93,8.97,3.17,1
67,5,19.71,16.06,0.75,6.28,2.58,0
68,5,19.76,18.57,0.95,10.0,3.55,1
69,5,20.07,12.47,0.76,8.1,2.01,0
70,5,20.24,12.97,0.65,6.27,1.92,0
71,5,24.11,14.84,0.71,7.8,2.3,0
72,5,23.25,12.77,0.74,7.03,2.02,0
73,5,20.27,18.0,0.84,8.64,3.11,1
74,5,19.31,17.43,0.95,8.02,3.32,1
75,5,22.14,13.97,0.71,7.02,2.17,0
76,5,24.79,17.19,0.84,7.05,2.95,1
77,5,23.97,13.36,0.83,7.96,2.29,0
78,5,21.73,16.1,0.82,8.82,2.74,1
79,5,19.42,18.65,0.9,8.19,3.39,1
80,5,18.9,12.36,0.79,8.04,2.04,0
81,5,10.07,13.65,0.71,6.87,2.12,0
82,5,15.17,22.02,1.0,9.54,4.4,1
83,5,20.42,15.17,0.74,7.29,2.4,0
84,5,10.31,13.13,0.78,7.25,2.14,0
85,5,14.37,16.26,0.78,8.62,2.66,1
86,5,15.91,19.04,0.91,9.66,3.5,1
87,5,11.1,17.24,0.93,8.06,3.21,1
88,5,12.98,17.82,0.91,10.0,3.26,1
89,5,13.98,10.89,0.63,4.83,1.59,0
90,5,24.37,13.91,0.7,6.82,2.13,0
91,5,14.99,14.49,0.85,7.4,2.52,0
92,5,14.24,18.31,0.87,7.71,3.23,1
93,5,15.05,14.0,0.69,5.63,2.14,0
94,5,10.66,13.88,0.69,8.09,2.12,0
95,5,22.88,18.68,0.94,10.0,3.52,1
96,5,17.18,17.21,0.94,9.79,3.25,1
97,5,21.57,14.2,0.83,6.88,2.43,0
98,5,22.05,15.0,0.79,8.89,2.47,1
99,5,12.68,16.54,0.92,9.95,3.06,1
100,5,23.37,13.69,0.72,7.54,2.13,0
101,5,18.67,13.77,0.81,9.54,2.31,1
102,5,11.4,12.95,0.75,6.31,2.07,0
103,5,10.37,6.55,0.63,7.8,0.96,0
104,5,17.26,12.49,0.68,5.81,1.89,0
105,5,14.57,13.61,0.86,8.85,2.38,1
106,5,20.02,10.41,0.66,5.54,1.55,0
107,5,22.57,11.7,0.64,5.59,1.73,0
108,5,24.37,13.77,0.67,7.65,2.06,0
109,5,10.95,16.44,0.78,8.08,2.69,1
110,5,16.98,16.68,0.76,6.43,2.68,0
111,5,19.51,13.25,0.72,7.53,2.07,0
112,5,16.89,20.06,1.0,10.0,4.01,1
113,5,22.7,22.52,0.93,9.01,4.21,1
114,5,19.09,16.79,0.8,7.2,2.81,1
115,5,11.91,19.24,0.92,7.95,3.56,1
116,5,12.64,15.61,0.83,8.23,2.67,1
117,5,17.08,17.64,0.83,9.28,3.03,1
118,5,10.84,16.59,0.92,9.45,3.07,1
119,5,14.69,15.57,0.88,9.18,2.79,1
120,5,17.35,16.74,0.76,7.84,2.7,1
121,5,10.95,11.05,0.77,7.99,1.8,0
122,5,24.72,10.17,0.65,5.76,1.51,0
123,5,21.67,16.23,0.74,8.55,2.58,1
124,5,18.64,17.67,0.84,7.6,3.06,1
125,5,19.13,14.73,0.85,9.81,2.57,1
126,5,14.43,9.5,0.68,5.67,1.43,0
127,5,13.14,12.38,0.67,7.0,1.87,0
128,5,22.6,10.67,0.67,7.46,1.61,0
129,5,11.23,18.77,1.0,10.0,3.75,1
130,5,24.31,14.68,0.81,7.9,2.46,0
131,5,16.75,14.49,0.79,7.78,2.4,0
132,5,18.11,13.29,0.76,8.39,2.14,0
133,5,23.65,15.54,0.79,7.87,2.58,1
134,5,10.03,10.06,0.58,4.62,1.41,0
135,5,16.55,13.79,0.76,6.62,2.22,0
136,5,20.72,13.18,0.72,5.78,2.05,0
137,5,24.38,12.29,0.64,5.19,1.8,0
138,5,14.15,11.58,0.69,8.4,1.77,0
139,5,13.08,13.62,0.71,8.47,2.11,0
140,5,11.85,13.14,0.79,8.68,2.18,0
141,5,16.1,16.59,0.88,9.54,2.98,1
142,5,15.23,9.83,0.54,5.99,1.35,0
143,5,12.87,14.31,0.72,7.69,2.23,0
144,5,22.19,20.34,0.91,8.65,3.73,1
145,5,20.63,16.02,0.88,10.0,2.87,1
146,5,24.17,10.71,0.68,6.35,1.62,0
147,5,14.03,18.86,0.94,8.79,3.55,1
148,5,12.86,12.2,0.74,7.89,1.93,0
149,5,21.2,17.59,0.89,9.55,3.16,1
150,5,17.54,13.77,0.7,7.98,2.12,0
151,5,23.46,15.51,0.87,7.82,2.74,1
152,5,17.08,12.69,0.66,6.63,1.89,0
153,5,18.91,10.14,0.57,6.5,1.42,0
154,5,19.51,11.65,0.8,9.35,1.94,0
155,5,12.17,12.98,0.8,9.36,2.16,0
156,5,20.98,14.15,0.82,8.64,2.4,1
157,5,10.23,9.3,0.58,4.43,1.31,0
158,5,18.62,20.18,0.97,10.0,3.91,1
159,5,11.18,13.29,0.84,9.5,2.28,1
160,5,21.19,16.54,0.8,6.79,2.76,1
161,5,14.06,19.54,0.99,9.54,3.88,1
162,5,18.41,15.69,0.88,7.48,2.79,1
163,5,14.04,16.36,0.88,8.63,2.92,1
164,5,21.18,11.66,0.77,6.46,1.89,0
165,5,19.06,19.27,0.92,9.29,3.57,1
166,5,11.14,13.26,0.69,6.6,2.02,0
167,5,24.61,14.58,0.78,7.41,2.39,0
168,5,18.93,12.31,0.78,6.39,2.03,0
169,5,11.94,16.26,0.75,6.57,2.61,0
170,5,11.63,14.44,0.75,6.87,2.3,0
171,5,22.89,16.18,0.8,6.68,2.7,0
172,5,10.65,16.5,0.82,6.94,2.8,1
173,5,12.36,10.05,0.64,7.07,1.48,0
174,5,20.84,15.8,0.78,8.14,2.59,1
175,5,16.93,18.8,1.0,9.6,3.76,1
