userid,avg_grade,cluster
7267,0.0,yếu
8609,9.294117647058824,giỏi
8670,9.0,giỏi
8671,5.0,yếu
8860,5.529411764705882,yếu
8964,4.777777777777778,yếu
8965,5.333333333333333,yếu
9043,8.235294117647058,giỏi
9109,9.117647058823529,giỏi
9131,6.333333333333333,khá
9146,7.9411764705882355,khá
9151,8.294117647058824,giỏi
9152,8.529411764705882,giỏi
9155,1.5,yếu
9169,8.764705882352942,giỏi
9183,7.909090909090909,khá
9220,7.705882352941177,khá
9227,8.11111111111111,giỏi
9260,8.058823529411764,giỏi
9452,4.666666666666667,yếu
9453,0.0,yếu
userid,0.0,yếu
