id,user_id,courseid,grade_item,itemtype,finalgrade,timemodified
379,5,2,,course,,0
378,5,2,bài kiểm tra bài 1 - easy,mod,,0
386,5,2,bài kiểm tra bài 1 - hard,mod,,0
385,5,2,bài kiểm tra bài 1 - medium,mod,,0
388,5,2,bài kiểm tra bài 2 - easy,mod,,0
390,5,2,bài kiểm tra bài 2 - hard,mod,,0
389,5,2,bài kiểm tra bài 2 - medium,mod,,0
394,5,2,bài kiểm tra bài 3 - hard,mod,,0
393,5,2,bài kiểm tra bài 3 - medium,mod,,0
398,5,2,Bài kiểm tra bài 4 - hard,mod,,0
397,5,2,Bài kiểm tra bài 4 - medium,mod,,0
402,5,2,Bài kiểm tra bài 5 - hard,mod,,0
401,5,2,Bài kiểm tra bài 5 - medium,mod,,0
406,5,2,Bài kiểm tra bài 6 - hard,mod,,0
405,5,2,Bài kiểm tra bài 6 - medium,mod,,0
380,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,,0
381,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,,0
382,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,,0
383,5,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,,0
392,5,2,Trắc nghiệm bài 3 - easy,mod,,0
396,5,2,Trắc nghiệm bài 4 - easy,mod,,0
400,5,2,Trắc nghiệm bài 5 - easy,mod,,0
404,5,2,Trắc nghiệm bài 6 - easy,mod,,0
384,5,2,Video bài giảng bài 1,mod,,0
387,5,2,Video bài giảng bài 2,mod,,0
391,5,2,Video bài giảng bài 3,mod,,0
395,5,2,Video bài giảng bài 4,mod,,0
399,5,2,Video bài giảng bài 5,mod,,0
403,5,2,Video bài giảng bài 6,mod,,0
234,6,2,,course,0,1761576412
233,6,2,bài kiểm tra bài 1 - easy,mod,0,1761705327
241,6,2,bài kiểm tra bài 1 - hard,mod,,0
240,6,2,bài kiểm tra bài 1 - medium,mod,,0
243,6,2,bài kiểm tra bài 2 - easy,mod,,0
245,6,2,bài kiểm tra bài 2 - hard,mod,,0
244,6,2,bài kiểm tra bài 2 - medium,mod,,0
249,6,2,bài kiểm tra bài 3 - hard,mod,,0
248,6,2,bài kiểm tra bài 3 - medium,mod,,0
253,6,2,Bài kiểm tra bài 4 - hard,mod,,0
252,6,2,Bài kiểm tra bài 4 - medium,mod,,0
257,6,2,Bài kiểm tra bài 5 - hard,mod,,0
256,6,2,Bài kiểm tra bài 5 - medium,mod,,0
261,6,2,Bài kiểm tra bài 6 - hard,mod,,0
260,6,2,Bài kiểm tra bài 6 - medium,mod,,0
235,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 10,mod,,0
236,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 11,mod,,0
237,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 20,mod,,0
238,6,2,Bài kiểm tra cuối kỳ môn Tin học - 120825 - 200,mod,,0
247,6,2,Trắc nghiệm bài 3 - easy,mod,,0
251,6,2,Trắc nghiệm bài 4 - easy,mod,,0
255,6,2,Trắc nghiệm bài 5 - easy,mod,,0
259,6,2,Trắc nghiệm bài 6 - easy,mod,,0
239,6,2,Video bài giảng bài 1,mod,,0
242,6,2,Video bài giảng bài 2,mod,,0
246,6,2,Video bài giảng bài 3,mod,,0
250,6,2,Video bài giảng bài 4,mod,,0
254,6,2,Video bài giảng bài 5,mod,,0
258,6,2,Video bài giảng bài 6,mod,,0
118,7,2,,course,0,1761576247
117,7,2,bài kiểm tra bài 1 - easy,mod,0,1761663590
125,7,2,bài kiểm tra bài 1 - hard,mod,,0
124,7,2,bài kiểm tra bài 1 - medium,mod,,0
127,7,2,bài kiểm tra bài 2 - easy,mod,0,1761705491
