id,timemodified,userid,courseid,finalgrade,itemtype
339537,1673277787,9452,42,9,mod
339518,1673277565,8964,42,7,mod
338083,1673354520,9260,42,9,mod
338082,1673354680,9227,42,8,mod
338081,1673962557,9220,42,8,mod
338080,1673962479,9183,42,8,mod
338079,1671708906,9169,42,9,mod
338077,1671708882,9152,42,9,mod
338076,1671708849,9151,42,9,mod
338075,1673963339,9146,42,10,mod
338074,1673962782,9131,42,8,mod
338072,1671709055,9109,42,9,mod
338070,1672393393,9043,42,7,mod
338059,1673962696,8670,42,8,mod
338057,1671708696,8609,42,10,mod
337046,1671533826,9118,42,0,course
336971,1671533826,9070,42,0,course
336705,1671442334,10037,42,10,mod
336698,1673348445,9260,42,10,mod
336697,1674563285,9227,42,8,mod
336696,1674563405,9220,42,7,mod
336695,1673949394,9183,42,10,mod
336694,1674411225,9169,42,9,mod
336692,1674411225,9152,42,9,mod
336691,1673518235,9151,42,10,mod
336690,1673948322,9146,42,10,mod
336688,1672745052,9109,42,10,mod
336687,1673946977,9043,42,10,mod
336676,1673347110,8670,42,10,mod
336674,1673346541,8609,42,7,mod
335912,1673349945,9260,42,10,mod
335911,1674563627,9227,42,8,mod
335909,1673949661,9183,42,8,mod
335908,1673963298,9169,42,5,mod
335906,1673963298,9152,42,5,mod
335905,1673948108,9151,42,6,mod
335904,1673353141,9146,42,9,mod
335902,1672745505,9109,42,10,mod
335901,1673946639,9043,42,7,mod
335890,1674411453,8670,42,5,mod
335888,1673346227,8609,42,8,mod
335107,1671443421,10037,42,8,mod
335087,1674411566,8964,42,5,mod
334672,1671204476,10037,42,9,mod
334586,1671201721,10037,42,10,mod
334481,1673347870,9260,42,9,mod
334478,1673949224,9183,42,10,mod
334477,1671779049,9169,42,10,mod
334475,1671780486,9152,42,10,mod
334474,1673440944,9151,42,9,mod
334473,1673947933,9146,42,10,mod
334471,1671702119,9109,42,10,mod
334470,1673344981,9043,42,9,mod
334459,1673346937,8670,42,10,mod
334457,1671786646,8609,42,10,mod
319136,1669293169,9220,42,-1,mod
319135,1669293169,9220,42,-1,mod
319134,1673963219,9220,42,4,mod
319132,1673962426,9220,42,1,mod
319131,1673963074,9220,42,7,mod
319128,1665474196,9220,42,7,mod
319127,1672136207,9220,42,10,mod
319126,1672135365,9220,42,8,mod
319121,1669293169,9220,42,-1,mod
319120,1669293169,9220,42,-1,mod
319119,1669293169,9220,42,-1,mod
319118,1669293169,9220,42,-1,mod
319116,1669293169,9220,42,-1,mod
319114,1669293169,9220,42,-1,mod
319112,1669293169,9220,42,-1,mod
319111,1669293169,9220,42,-1,mod
319108,1669293169,9220,42,-1,mod
319107,1669293169,9220,42,-1,mod
319106,1669293169,9220,42,-1,mod
319105,1669293169,9220,42,-1,mod
319104,1669293169,9220,42,-1,mod
319102,1669293169,9220,42,-1,mod
319101,1669293169,9220,42,-1,mod
319100,1669293169,9220,42,-1,mod
319095,1669293169,9220,42,-1,mod
319094,1669293169,9220,42,-1,mod
319093,1669293169,9220,42,-1,mod
319092,1669293169,9220,42,-1,mod
319091,1669293169,9220,42,-1,mod
319090,1669293169,9220,42,-1,mod
319088,1669293169,9220,42,-1,mod
319085,1669293169,9220,42,-1,mod
319084,1669293169,9220,42,-1,mod
319083,1669293169,9220,42,-1,mod
319082,1669293169,9220,42,-1,mod
319081,1669293169,9220,42,-1,mod
319080,1669293169,9220,42,-1,mod
319079,1669293169,9220,42,-1,mod
319078,1669293169,9220,42,-1,mod
319070,1669293169,9220,42,-1,category
319069,1669293169,9220,42,-1,category
319068,1669293169,9220,42,-1,category
319067,1669293169,9220,42,-1,category
319066,1674569681,9220,42,-1,course
319065,1672829866,9220,42,9,mod
319064,1671701235,9109,42,10,mod
319063,1671700275,9109,42,10,mod
319062,1669293203,9109,42,-1,mod
319061,1666878810,9109,42,9,mod
319059,1671699571,9109,42,10,mod
319058,1666691089,9109,42,6,mod
319055,1665138465,9109,42,10,mod
319054,1671698901,9109,42,10,mod
319053,1671698596,9109,42,10,mod
319048,1669293203,9109,42,-1,mod
319047,1669293203,9109,42,-1,mod
319046,1669293203,9109,42,-1,mod
319045,1669293203,9109,42,-1,mod
319043,1669293203,9109,42,-1,mod
319039,1669293203,9109,42,-1,mod
319038,1669293203,9109,42,-1,mod
319035,1669293203,9109,42,-1,mod
319034,1669293203,9109,42,-1,mod
319033,1669293203,9109,42,-1,mod
319032,1669293203,9109,42,-1,mod
319031,1669293203,9109,42,-1,mod
319029,1669293203,9109,42,-1,mod
319027,1669293203,9109,42,-1,mod
319022,1669293203,9109,42,-1,mod
319021,1669293203,9109,42,-1,mod
319020,1669293203,9109,42,-1,mod
319019,1669293203,9109,42,-1,mod
319018,1669293203,9109,42,-1,mod
319017,1669293203,9109,42,-1,mod
319015,1669293203,9109,42,-1,mod
319012,1669293203,9109,42,-1,mod
319011,1669293203,9109,42,-1,mod
319010,1669293203,9109,42,-1,mod
319009,1669293203,9109,42,-1,mod
319008,1669293203,9109,42,-1,mod
319007,1669293203,9109,42,-1,mod
319006,1669293203,9109,42,-1,mod
319005,1669293203,9109,42,-1,mod
318997,1669293203,9109,42,-1,category
318996,1669293203,9109,42,-1,category
318995,1669293203,9109,42,-1,category
318994,1669293203,9109,42,-1,category
318993,1673965903,9109,42,9,course
318992,1671697774,9109,42,10,mod
318991,1671786339,8609,42,10,mod
318990,1671786026,8609,42,10,mod
318989,1669293411,8609,42,-1,mod
318988,1666968108,8609,42,10,mod
318986,1671785625,8609,42,10,mod
318985,1666689186,8609,42,10,mod
318982,1665137866,8609,42,10,mod
318981,1671785191,8609,42,10,mod
318980,1671781982,8609,42,10,mod
318975,1669293411,8609,42,-1,mod
318974,1669293411,8609,42,-1,mod
318973,1669293411,8609,42,-1,mod
318972,1669293411,8609,42,-1,mod
318970,1669293411,8609,42,-1,mod
318966,1669293411,8609,42,-1,mod
318965,1669293411,8609,42,-1,mod
318962,1669293411,8609,42,-1,mod
318961,1669293411,8609,42,-1,mod
318960,1669293411,8609,42,-1,mod
318959,1669293411,8609,42,-1,mod
318958,1669293411,8609,42,-1,mod
