id,timecreated,eventname,action,target,userid,courseid,other
9212923,2022-09-05 07:25:12,\core\event\course_viewed,viewed,course,3,42,
9212928,2022-09-05 07:25:42,\core\event\course_viewed,viewed,course,3,42,
9213711,2022-09-05 10:23:15,\core\event\course_viewed,viewed,course,3,42,
9213712,2022-09-05 10:23:18,\core\event\course_viewed,viewed,course,3,42,
9213735,2022-09-05 10:25:39,\core\event\course_section_updated,updated,course_section,3,42,{'sectionnum': '*'}
9213736,2022-09-05 10:25:40,\core\event\course_viewed,viewed,course,3,42,
9216870,2022-09-05 14:04:53,\core\event\course_viewed,viewed,course,231,42,
9216879,2022-09-05 14:05:07,\mod_quiz\event\course_module_viewed,viewed,course_module,231,42,
9216882,2022-09-05 14:05:09,\mod_quiz\event\report_viewed,viewed,report,231,42,"{'quizid': '****', 'reportname': '********'}"
9216889,2022-09-05 14:05:42,\core\event\user_list_viewed,viewed,user_list,231,42,"{'courseshortname': '********', 'coursefullname': '***************************************************************'}"
9216893,2022-09-05 14:06:01,\core\event\user_list_viewed,viewed,user_list,231,42,"{'courseshortname': '********', 'coursefullname': '***************************************************************'}"
9216902,2022-09-05 14:07:05,\core\event\course_viewed,viewed,course,231,42,
9217362,2022-09-05 15:36:58,\core\event\course_viewed,viewed,course,9227,42,
9217370,2022-09-05 15:37:33,\core\event\course_viewed,viewed,course,9227,42,
9217372,2022-09-05 15:37:39,\mod_resource\event\course_module_viewed,viewed,course_module,9227,42,
9217697,2022-09-05 16:47:23,\core\event\course_viewed,viewed,course,231,42,
9220515,2022-09-06 03:12:42,\core\event\course_viewed,viewed,course,3,42,
9220517,2022-09-06 03:13:02,\core\event\course_viewed,viewed,course,3,42,
9220518,2022-09-06 03:14:02,\core\event\course_section_updated,updated,course_section,3,42,{'sectionnum': '*'}
9220519,2022-09-06 03:14:02,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '******************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9220520,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '******************************************************'}"
9220521,2022-09-06 03:14:02,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '*****************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9220522,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '*****************************************************'}"
9220523,2022-09-06 03:14:02,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '***********************************************', 'itemtype': '***', 'itemmodule': '******'}"
9220524,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '***********************************************'}"
9220525,2022-09-06 03:14:02,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '**************************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9220526,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '**************************************************************'}"
9220527,2022-09-06 03:14:02,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9220528,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '************************************************'}"
9220529,2022-09-06 03:14:02,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '***************************************', 'itemtype': '***', 'itemmodule': '******'}"
9220530,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '***************************************'}"
9220531,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '********************************************************'}"
9220532,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '********************************************************'}"
9220533,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '********************************************************'}"
9220534,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '********************************************************'}"
9220535,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '***********************************************'}"
9220536,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '*********************************'}"
9220537,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '***************************************************'}"
9220538,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '**********************'}"
9220539,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '*****************'}"
9220540,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '*************************************************'}"
9220541,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '****', 'name': '****************************************************'}"
9220542,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '*****************************'}"
9220543,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '************************************************'}"
9220544,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '****************************'}"
9220545,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '****', 'name': '*******************************'}"
9220546,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '***************************************'}"
9220547,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '************'}"
9220548,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '**************************************************************'}"
9220549,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '************************'}"
9220550,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '**************************************'}"
9220551,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '***********************************************'}"
9220552,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '***************************************************************'}"
9220553,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '**********************************************************************************'}"
9220554,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '************************'}"
9220555,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '************************************'}"
9220556,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '****', 'name': '********************'}"
9220557,2022-09-06 03:14:02,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '********************', 'itemtype': '***', 'itemmodule': '******'}"
9220558,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '********************'}"
9220559,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '************************'}"
9220560,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '************************************'}"
9220561,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '***********************************'}"
9220562,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '********************************'}"
9220563,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '************************************'}"
9220564,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '***********************************'}"
9220565,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '****', 'name': '***************'}"
9220566,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '*****************************************************'}"
9220567,2022-09-06 03:14:02,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '************************************'}"
9220568,2022-09-06 03:14:03,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '************************************************'}"
9220569,2022-09-06 03:14:03,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '****', 'instanceid': '****', 'name': '****************************************************************'}"
9220570,2022-09-06 03:14:03,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '*****************************************************'}"
9220571,2022-09-06 03:14:03,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '*********************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9220572,2022-09-06 03:14:03,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '*********************************************************'}"
9220573,2022-09-06 03:14:54,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '*************************************'}"
9220574,2022-09-06 03:14:57,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '********', 'instanceid': '*****', 'name': '************************************'}"
9220575,2022-09-06 03:15:01,\mod_resource\event\course_module_viewed,viewed,course_module,3,42,
9220579,2022-09-06 03:16:44,\core\event\course_viewed,viewed,course,3,42,
9220580,2022-09-06 03:17:02,\core\event\course_viewed,viewed,course,3,42,
9220581,2022-09-06 03:18:32,\core\event\course_section_updated,updated,course_section,3,42,{'sectionnum': '*'}
9220582,2022-09-06 03:18:33,\core\event\course_viewed,viewed,course,3,42,
9220587,2022-09-06 03:21:07,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '***', 'instanceid': '****', 'name': '********************************************'}"
9220588,2022-09-06 03:21:12,\mod_url\event\course_module_viewed,viewed,course_module,3,42,
9220590,2022-09-06 03:21:43,\mod_folder\event\course_module_viewed,viewed,course_module,3,42,
9220593,2022-09-06 03:27:50,\mod_folder\event\course_module_viewed,viewed,course_module,3,42,
9220596,2022-09-06 03:29:45,\core\event\course_module_created,created,course_module,3,42,"{'modulename': '********', 'instanceid': 34168, 'name': '*************************************************************'}"
9220597,2022-09-06 03:29:46,\core\event\course_viewed,viewed,course,3,42,
9220605,2022-09-06 03:32:49,\mod_assign\event\course_module_viewed,viewed,course_module,3,42,
9220606,2022-09-06 03:32:50,\mod_assign\event\submission_status_viewed,viewed,submission_status,3,42,{'assignid': '****'}
9223367,2022-09-06 08:31:26,\core\event\course_viewed,viewed,course,3,42,
9223369,2022-09-06 08:31:35,\core\event\course_viewed,viewed,course,3,42,
9223373,2022-09-06 08:31:49,\core\event\grade_item_updated,updated,grade_item,3,42,"{'itemname': '*****************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9223374,2022-09-06 08:31:49,\core\event\course_module_updated,updated,course_module,3,42,"{'modulename': '******', 'instanceid': '****', 'name': '*****************************************************'}"
9223381,2022-09-06 08:32:11,\core\event\course_viewed,viewed,course,3,42,
9223407,2022-09-06 08:35:13,\core\event\course_module_created,created,course_module,3,42,"{'modulename': '********', 'instanceid': 34173, 'name': '***********************************************************************'}"
9223408,2022-09-06 08:35:13,\mod_resource\event\course_module_viewed,viewed,course_module,3,42,
9223903,2022-09-06 09:06:30,\core\event\course_viewed,viewed,course,231,42,
9224386,2022-09-06 09:27:44,\core\event\course_viewed,viewed,course,231,42,
9224404,2022-09-06 09:28:38,\mod_resource\event\course_module_viewed,viewed,course_module,231,42,
9225026,2022-09-06 10:14:26,\mod_resource\event\course_module_viewed,viewed,course_module,231,42,
9228704,2022-09-06 12:32:34,\core\event\course_viewed,viewed,course,9109,42,
9233837,2022-09-06 18:37:40,\core\event\user_enrolment_created,created,user_enrolment,9978,42,{'enrol': '****'}
9233838,2022-09-06 18:37:40,\core\event\role_assigned,assigned,role,9978,42,"{'id': 96639, 'component': '', 'itemid': 0}"
9233840,2022-09-06 18:37:41,\core\event\course_viewed,viewed,course,9978,42,
9233842,2022-09-06 18:37:52,\mod_quiz\event\course_module_viewed,viewed,course_module,9978,42,
9233845,2022-09-06 18:37:58,\core\event\course_viewed,viewed,course,9978,42,
9233867,2022-09-06 18:39:15,\mod_url\event\course_module_viewed,viewed,course_module,9978,42,
9233868,2022-09-06 18:39:25,\mod_url\event\course_module_viewed,viewed,course_module,9978,42,
9233880,2022-09-06 18:40:38,\mod_url\event\course_module_viewed,viewed,course_module,9978,42,
9233881,2022-09-06 18:40:43,\core\event\course_viewed,viewed,course,9978,42,
9234460,2022-09-06 19:28:15,\core\event\course_viewed,viewed,course,7267,42,
9234461,2022-09-06 19:28:34,\mod_resource\event\course_module_viewed,viewed,course_module,7267,42,
9238373,2022-09-07 06:15:26,\core\event\course_viewed,viewed,course,8609,42,
9238504,2022-09-07 06:29:40,\mod_resource\event\course_module_viewed,viewed,course_module,8609,42,
9238505,2022-09-07 06:29:48,\mod_resource\event\course_module_viewed,viewed,course_module,8609,42,
9239011,2022-09-07 07:04:51,\core\event\course_viewed,viewed,course,9978,42,
9239038,2022-09-07 07:05:06,\mod_resource\event\course_module_viewed,viewed,course_module,9978,42,
9244782,2022-09-07 12:00:28,\core\event\course_viewed,viewed,course,9151,42,
9244786,2022-09-07 12:01:15,\core\event\course_viewed,viewed,course,8670,42,
9244792,2022-09-07 12:01:49,\mod_quiz\event\course_module_viewed,viewed,course_module,9151,42,
9244793,2022-09-07 12:01:53,\core\event\course_viewed,viewed,course,9151,42,
9246415,2022-09-07 13:25:00,\core\event\course_viewed,viewed,course,9220,42,
9246570,2022-09-07 13:33:09,\core\event\course_viewed,viewed,course,3,42,
9247664,2022-09-07 14:56:53,\core\event\course_viewed,viewed,course,9951,42,
9248628,2022-09-07 17:21:35,\core\event\course_viewed,viewed,course,9951,42,
9251822,2022-09-08 04:31:34,\core\event\course_viewed,viewed,course,8670,42,
9252967,2022-09-08 06:20:23,\core\event\course_viewed,viewed,course,231,42,
9252969,2022-09-08 06:20:50,\core\event\course_viewed,viewed,course,231,42,
9252971,2022-09-08 06:21:05,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '*****', 'instanceid': '*****', 'name': '*****************************************************'}"
9252973,2022-09-08 06:21:08,\mod_resource\event\course_module_viewed,viewed,course_module,231,42,
9252983,2022-09-08 06:21:28,\mod_resource\event\course_module_viewed,viewed,course_module,231,42,
9252992,2022-09-08 06:22:07,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '***************************************************************'}"
9252993,2022-09-08 06:22:09,\mod_resource\event\course_module_viewed,viewed,course_module,231,42,
9253201,2022-09-08 06:32:17,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '****', 'name': '**********************************'}"
9253202,2022-09-08 06:32:18,\core\event\course_viewed,viewed,course,231,42,
9253205,2022-09-08 06:32:37,\core\event\grade_item_updated,updated,grade_item,231,42,"{'itemname': '***********', 'itemtype': '***', 'itemmodule': '****'}"
9253206,2022-09-08 06:32:37,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '****', 'instanceid': '****', 'name': '***********'}"
9253210,2022-09-08 06:32:44,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '*************'}"
9253211,2022-09-08 06:32:48,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '*************************************************'}"
9253214,2022-09-08 06:33:09,\core\event\grade_item_updated,updated,grade_item,231,42,"{'itemname': '************************************************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9253215,2022-09-08 06:33:09,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '******', 'instanceid': '****', 'name': '************************************************************************************'}"
9253217,2022-09-08 06:33:13,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '******************************************'}"
9253218,2022-09-08 06:33:20,\core\event\grade_item_updated,updated,grade_item,231,42,"{'itemname': '******************************', 'itemtype': '***', 'itemmodule': '******'}"
9253219,2022-09-08 06:33:20,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '******', 'instanceid': '****', 'name': '******************************'}"
9253222,2022-09-08 06:33:25,\core\event\grade_item_updated,updated,grade_item,231,42,"{'itemname': '*********************************************************************', 'itemtype': '***', 'itemmodule': '******'}"
9253223,2022-09-08 06:33:25,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '******', 'instanceid': '****', 'name': '*********************************************************************'}"
9253228,2022-09-08 06:33:39,\mod_resource\event\course_module_viewed,viewed,course_module,231,42,
9253229,2022-09-08 06:33:45,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '***********'}"
9253231,2022-09-08 06:33:48,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '************'}"
9253235,2022-09-08 06:34:28,\core\event\course_viewed,viewed,course,231,42,
9253236,2022-09-08 06:34:49,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '*********'}"
9253237,2022-09-08 06:34:59,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '**********'}"
9253238,2022-09-08 06:35:03,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '*********'}"
9253244,2022-09-08 06:36:06,\core\event\course_section_updated,updated,course_section,231,42,{'sectionnum': '*'}
9253245,2022-09-08 06:36:07,\core\event\course_viewed,viewed,course,231,42,
9253279,2022-09-08 06:37:41,\core\event\grade_item_updated,updated,grade_item,231,42,"{'itemname': '*********', 'itemtype': '***', 'itemmodule': '****'}"
9253280,2022-09-08 06:37:41,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '****', 'instanceid': '****', 'name': '*********'}"
9253301,2022-09-08 06:38:02,\core\event\course_module_updated,updated,course_module,231,42,"{'modulename': '********', 'instanceid': '*****', 'name': '**********************************'}"
