Cluster,Lesson,Progress,Score,Phase,Engagement,Best_Action_ID,Best_Action_Name,Best_Q_Value,Num_Actions_Available
0,0,0.25,0.5,0,0,7,submit_assignment (current),122.11477553867212,15
0,0,0.5,0.5,0,0,7,submit_assignment (current),122.78488284321041,15
0,0,0.75,0.75,0,1,7,submit_assignment (current),123.91538866522939,15
0,0,0.75,0.75,2,1,2,attempt_quiz (past),86.20643581999227,15
0,0,0.75,0.5,0,2,7,submit_assignment (current),128.50382817379838,15
0,0,1.0,0.5,0,2,7,submit_assignment (current),123.22079734307431,15
0,1,0.25,0.75,0,2,7,submit_assignment (current),116.91842945156948,15
0,1,0.5,0.75,1,2,9,submit_quiz (current),110.65502438747727,15
0,1,0.5,0.75,0,2,7,submit_assignment (current),109.07612701559964,15
0,1,0.75,0.75,0,2,7,submit_assignment (current),99.71328596013169,15
0,1,0.75,0.75,1,2,7,submit_assignment (current),99.35284446739642,15
0,1,0.75,0.75,2,2,7,submit_assignment (current),95.49291076945065,15
0,1,1.0,0.75,2,2,7,submit_assignment (current),87.14446698512762,15
0,1,1.0,0.5,1,2,9,submit_quiz (current),97.81035083418031,15
0,1,1.0,0.5,2,2,9,submit_quiz (current),94.29835894791066,15
0,2,0.25,0.5,0,2,7,submit_assignment (current),77.20939377391106,15
0,2,0.25,0.75,1,2,9,submit_quiz (current),82.57790803017767,15
0,2,0.5,0.75,0,2,9,submit_quiz (current),67.65686239013667,15
0,0,0.5,0.75,0,1,9,submit_quiz (current),121.52559312810541,15
0,0,0.75,0.75,1,2,7,submit_assignment (current),126.56109812308819,15
0,0,1.0,0.75,1,2,9,submit_quiz (current),123.1874987823901,15
0,0,1.0,0.75,2,2,7,submit_assignment (current),121.79124679657706,15
0,0,1.0,0.75,0,2,13,attempt_quiz (future),113.14030534609277,15
0,1,0.75,0.5,1,2,7,submit_assignment (current),103.18017389841525,15
0,2,0.5,0.5,0,2,7,submit_assignment (current),68.86700259655024,15
0,2,0.5,0.5,1,2,7,submit_assignment (current),65.23207187345122,15
0,2,0.75,0.75,1,2,7,submit_assignment (current),50.57418378234532,15
0,0,0.5,0.5,0,1,9,submit_quiz (current),127.10760445867975,15
0,0,0.75,0.5,0,1,7,submit_assignment (current),123.96642800206567,15
0,0,0.75,0.5,2,2,7,submit_assignment (current),125.87343195419632,15
0,0,1.0,0.5,2,2,7,submit_assignment (current),122.0322533948214,15
0,1,0.25,0.5,0,2,7,submit_assignment (current),117.92279397500458,15
0,1,1.0,0.75,0,2,9,submit_quiz (current),89.69859989773322,15
0,2,0.25,0.75,0,2,9,submit_quiz (current),76.28323878288813,15
0,2,0.75,0.75,0,2,7,submit_assignment (current),51.35986830592235,15
0,0,0.25,0.75,0,0,9,submit_quiz (current),123.8102183739812,15
0,0,0.5,0.75,0,0,9,submit_quiz (current),122.37388522643752,15
0,1,0.5,0.5,0,2,7,submit_assignment (current),108.43331145588382,15
0,1,0.75,0.5,0,2,7,submit_assignment (current),101.74844472397149,15
0,1,0.75,0.5,2,2,7,submit_assignment (current),98.69775637958352,15
0,2,0.25,0.5,1,2,9,submit_quiz (current),84.0654553976066,15
0,0,0.25,0.25,0,0,9,submit_quiz (current),120.06762351746623,15
0,0,0.5,0.25,0,1,7,submit_assignment (current),113.62609939055709,15
0,0,0.5,0.25,1,1,7,submit_assignment (current),57.871371261295344,14
0,0,0.75,0.5,1,2,9,submit_quiz (current),128.08829551047018,15
0,0,1.0,0.5,1,2,9,submit_quiz (current),124.5595449992795,15
0,1,0.25,0.5,1,2,9,submit_quiz (current),116.96836182396983,15
0,1,1.0,0.75,1,2,9,submit_quiz (current),90.65449622888491,15
0,0,0.5,0.5,1,1,7,submit_assignment (current),124.35067717654097,15
0,1,0.5,0.5,1,2,9,submit_quiz (current),109.61350022653357,15
0,2,0.5,0.5,0,1,7,submit_assignment (current),16.346519934305377,4
0,2,0.75,0.5,0,2,7,submit_assignment (current),55.57730497577582,15
0,0,0.25,0.5,0,1,9,submit_quiz (current),122.99679118001617,15
0,0,0.5,0.5,0,2,8,attempt_quiz (current),119.90726929855104,15
0,1,0.25,0.75,1,2,7,submit_assignment (current),114.98992696945416,15
0,0,0.25,1.0,0,0,9,submit_quiz (current),118.78775311156338,15
0,0,0.25,0.75,1,0,5,view_assignment (current),90.41292242106914,15
0,0,0.5,0.75,1,1,7,submit_assignment (current),125.71807411414996,15
0,0,0.75,0.75,1,1,9,submit_quiz (current),125.61171584162123,15
0,1,1.0,0.5,0,2,7,submit_assignment (current),89.7812522865809,15
0,0,0.75,0.75,0,2,9,submit_quiz (current),120.86837450893478,15
0,0,0.75,0.75,2,2,7,submit_assignment (current),123.58324687867655,15
0,0,0.5,0.75,1,2,2,attempt_quiz (past),108.37004091590214,15
0,2,1.0,0.75,0,2,7,submit_assignment (current),35.151707754170644,15
0,2,1.0,0.5,0,2,2,attempt_quiz (past),17.6335165080501,15
0,0,0.5,1.0,0,0,9,submit_quiz (current),107.65283531574491,15
0,0,0.5,1.0,0,1,9,submit_quiz (current),116.91908098218866,15
0,0,0.75,1.0,0,1,2,attempt_quiz (past),88.69603280689583,15
0,0,1.0,0.75,2,1,13,attempt_quiz (future),56.62090038735947,8
0,2,0.5,0.75,1,2,9,submit_quiz (current),65.23084664531005,15
0,2,0.75,0.5,1,2,7,submit_assignment (current),54.260608272502765,15
0,0,1.0,0.75,0,1,9,submit_quiz (current),79.29661064723658,14
0,1,0.25,0.5,0,1,13,attempt_quiz (future),31.976343193181844,7
0,2,0.75,0.75,2,2,7,submit_assignment (current),40.28501383935225,15
0,0,0.75,0.5,0,0,10,review_quiz (current),36.31037576319539,7
0,0,0.5,0.75,1,0,4,post_forum (past),96.69703119170751,12
0,0,0.5,0.5,1,2,8,attempt_quiz (current),121.84755410765803,15
0,0,0.75,1.0,2,1,2,attempt_quiz (past),67.38693962065342,12
0,0,1.0,1.0,2,1,11,post_forum (current),4.29337769616694,2
0,2,0.75,0.5,2,2,8,attempt_quiz (current),27.720440085460663,15
0,0,0.75,0.5,1,1,7,submit_assignment (current),126.58450395197006,15
0,0,0.25,0.5,1,0,7,submit_assignment (current),114.36468782676309,15
0,2,1.0,0.5,2,2,9,submit_quiz (current),15.309268706564568,13
2,0,0.25,0.75,0,0,9,submit_quiz (current),80.72095833554937,15
2,0,0.25,0.5,0,0,7,submit_assignment (current),77.49888506827831,15
2,0,0.5,0.5,0,0,7,submit_assignment (current),74.84907755367468,15
2,0,0.5,0.5,0,1,7,submit_assignment (current),79.79685220530381,15
2,0,0.75,0.5,0,1,13,attempt_quiz (future),64.15003208045985,15
2,0,0.75,0.5,0,2,9,submit_quiz (current),20.72873212876471,12
2,0,1.0,0.5,2,2,9,submit_quiz (current),51.707624162455254,15
2,1,0.25,0.75,1,2,9,submit_quiz (current),86.1714352308249,15
2,1,0.5,0.75,1,2,9,submit_quiz (current),82.14196482029098,15
2,1,0.75,0.75,1,2,7,submit_assignment (current),75.90067866849748,15
2,1,0.75,0.75,2,2,7,submit_assignment (current),74.54739886488566,15
2,1,1.0,0.75,2,2,7,submit_assignment (current),72.13154586914598,15
2,2,0.25,0.75,0,2,7,submit_assignment (current),66.58294183449836,15
2,2,0.25,0.75,1,2,9,submit_quiz (current),69.24961852648994,15
2,2,0.5,0.75,1,2,9,submit_quiz (current),61.54785481446981,15
2,2,0.75,0.75,1,2,9,submit_quiz (current),56.47419658329649,15
2,2,1.0,0.75,2,2,7,submit_assignment (current),50.22980323245546,15
2,2,1.0,0.75,0,2,7,submit_assignment (current),49.57573579069888,15
2,3,0.25,0.75,0,2,7,submit_assignment (current),43.15162592660148,15
2,0,0.25,1.0,0,0,9,submit_quiz (current),81.96539154657953,15
2,0,0.5,1.0,1,0,3,review_quiz (past),51.650753618786716,15
2,0,0.5,1.0,1,1,6,view_content (current),72.43492511539198,14
2,0,0.75,0.75,1,1,7,submit_assignment (current),89.48111415559731,15
2,0,1.0,0.75,1,2,7,submit_assignment (current),88.57464595866753,15
2,1,0.5,0.75,0,2,7,submit_assignment (current),80.37814592145212,15
2,1,0.75,0.75,0,2,7,submit_assignment (current),76.68682564150485,15
2,2,0.5,0.75,0,2,9,submit_quiz (current),60.326635031187166,15
2,2,0.5,1.0,0,2,7,submit_assignment (current),60.28367198243244,15
2,2,0.75,1.0,2,2,7,submit_assignment (current),51.231576197003655,15
2,3,0.25,0.75,1,2,9,submit_quiz (current),44.98679485382593,15
2,3,0.5,0.75,1,2,9,submit_quiz (current),36.4995242647765,15
2,0,0.5,1.0,0,0,9,submit_quiz (current),82.2630105592529,15
2,0,0.75,1.0,0,0,7,submit_assignment (current),45.895274183617296,15
2,0,0.75,1.0,0,1,7,submit_assignment (current),81.44773836191068,15
2,0,1.0,1.0,0,1,7,submit_assignment (current),81.57004606455325,15
2,1,0.25,1.0,0,1,8,attempt_quiz (current),40.94072939289442,15
2,1,0.25,1.0,0,2,9,submit_quiz (current),80.77515154436382,15
2,1,0.5,1.0,0,2,9,submit_quiz (current),77.66711651444572,15
2,1,0.5,1.0,0,1,1,view_content (past),0.518158153022828,3
2,1,0.75,1.0,0,2,9,submit_quiz (current),73.72779255211668,15
2,1,0.75,1.0,2,2,7,submit_assignment (current),71.37953017920789,15
2,1,1.0,0.75,1,2,9,submit_quiz (current),72.59179236816549,15
2,2,0.75,0.75,0,2,7,submit_assignment (current),56.23292815211656,15
2,2,0.75,0.75,2,2,7,submit_assignment (current),52.00945227950042,15
2,3,0.5,1.0,0,2,7,submit_assignment (current),34.327271984765076,15
2,0,0.75,0.75,0,1,7,submit_assignment (current),84.34983673237343,15
2,0,1.0,0.75,0,1,13,attempt_quiz (future),70.5980867535688,15
2,1,0.25,0.75,0,2,9,submit_quiz (current),83.70972020572205,15
2,2,0.75,1.0,0,2,9,submit_quiz (current),53.09579722766109,15
2,2,0.75,1.0,1,2,7,submit_assignment (current),55.08652268231717,15
2,2,1.0,1.0,1,2,7,submit_assignment (current),48.898330422199976,15
2,3,0.25,1.0,0,2,9,submit_quiz (current),42.21784365088105,15
2,0,0.5,1.0,0,1,7,submit_assignment (current),83.08062916490182,15
2,0,0.75,1.0,2,1,9,submit_quiz (current),78.71821413056301,15
2,0,1.0,1.0,2,2,7,submit_assignment (current),84.73067847459131,15
2,1,1.0,0.75,0,2,7,submit_assignment (current),73.04872052937677,15
2,2,0.25,0.75,0,1,9,submit_quiz (current),6.6495493485701935,9
2,2,0.5,0.75,0,1,14,post_forum (future),6.93686987667034,7
2,2,1.0,0.75,1,2,9,submit_quiz (current),51.32894512561512,15
2,0,0.5,0.75,0,0,7,submit_assignment (current),82.29229687681936,15
2,0,1.0,1.0,2,1,9,submit_quiz (current),68.68829234711099,15
2,1,1.0,1.0,2,2,2,attempt_quiz (past),64.9358236106808,15
2,2,0.25,1.0,0,2,9,submit_quiz (current),65.48597916635238,15
2,3,0.25,1.0,1,2,9,submit_quiz (current),44.355493737930665,15
2,0,0.75,0.75,2,1,13,attempt_quiz (future),68.1088015637704,15
2,0,1.0,0.75,2,2,8,attempt_quiz (current),82.52258799829269,15
2,2,0.5,1.0,1,2,9,submit_quiz (current),59.77361723048572,15
2,3,0.5,1.0,1,2,9,submit_quiz (current),33.973510091744416,15
2,0,0.5,0.75,1,0,9,submit_quiz (current),68.56750680842701,15
2,0,0.5,0.75,1,1,9,submit_quiz (current),84.59086993910245,15
2,0,0.75,0.75,1,2,8,attempt_quiz (current),86.44938699852725,15
2,2,1.0,1.0,2,2,7,submit_assignment (current),48.80825092820869,15
2,0,1.0,0.75,2,1,7,submit_assignment (current),39.660287003391346,15
2,1,0.25,1.0,1,2,7,submit_assignment (current),85.87107328638393,15
2,1,0.5,1.0,1,2,7,submit_assignment (current),81.77916861766076,15
2,1,0.75,1.0,1,2,9,submit_quiz (current),77.12783624587061,15
2,1,0.5,0.5,0,2,9,submit_quiz (current),40.633427642737736,14
2,1,0.75,0.5,0,2,2,attempt_quiz (past),19.24343294303058,12
2,1,0.75,0.5,2,2,4,post_forum (past),3.011138808806572,10
2,0,0.75,1.0,1,1,7,submit_assignment (current),85.55377817068702,15
2,0,1.0,1.0,1,2,13,attempt_quiz (future),84.1766557468983,15
2,1,1.0,1.0,1,2,9,submit_quiz (current),71.31283259566477,15
2,2,0.25,1.0,1,2,7,submit_assignment (current),66.20734600863021,15
2,3,0.75,0.75,1,2,9,submit_quiz (current),27.219563828825837,15
2,3,0.75,0.75,2,2,13,attempt_quiz (future),15.34993540491429,15
2,0,1.0,1.0,0,2,9,submit_quiz (current),78.19731190818099,15
2,2,0.5,1.0,0,1,7,submit_assignment (current),1.7099586196854033,4
2,2,0.75,1.0,0,1,9,submit_quiz (current),0.7652541897381093,4
2,2,1.0,1.0,2,1,3,review_quiz (past),2.1949752618550478,3
2,3,0.25,1.0,0,1,10,review_quiz (current),0.856439559204949,4
2,3,0.5,0.75,0,2,7,submit_assignment (current),37.51997220840006,15
2,0,0.5,0.75,0,1,7,submit_assignment (current),82.36304755608953,15
2,0,0.75,0.5,2,1,7,submit_assignment (current),37.426580640684215,14
2,2,1.0,1.0,0,2,7,submit_assignment (current),47.869830079976666,15
2,0,0.75,0.75,2,2,9,submit_quiz (current),82.35666659880361,15
2,0,1.0,1.0,1,1,9,submit_quiz (current),84.98506347451223,15
2,3,0.75,1.0,0,2,7,submit_assignment (current),25.350168615100532,15
2,3,0.75,1.0,1,2,7,submit_assignment (current),27.31624053312798,15
2,0,1.0,0.75,1,1,8,attempt_quiz (current),73.3036530948299,15
2,1,0.25,0.75,0,1,2,attempt_quiz (past),15.336845687747253,10
2,0,0.75,0.75,0,0,9,submit_quiz (current),49.80032427679011,15
2,0,1.0,0.75,0,2,7,submit_assignment (current),88.17883890626175,15
4,0,0.25,0.75,0,0,7,submit_assignment (current),96.29599821155952,15
4,0,0.25,1.0,0,0,9,submit_quiz (current),97.47551392748645,15
4,0,0.5,1.0,1,0,2,attempt_quiz (past),78.70893282266672,15
4,0,0.75,1.0,1,1,7,submit_assignment (current),96.32843449267386,15
4,0,1.0,1.0,1,1,9,submit_quiz (current),97.31163750035532,15
4,1,0.25,1.0,1,2,9,submit_quiz (current),95.29922028534797,15
4,1,0.25,1.0,0,2,7,submit_assignment (current),96.31435259886307,15
4,1,0.5,1.0,0,2,7,submit_assignment (current),91.40066740724018,15
4,1,0.75,1.0,0,2,7,submit_assignment (current),88.55155765245499,15
4,1,0.75,1.0,2,2,9,submit_quiz (current),86.71402652250637,15
4,1,1.0,1.0,1,2,9,submit_quiz (current),87.48222359387294,15
4,2,0.25,1.0,1,2,9,submit_quiz (current),83.35784761865276,15
4,2,0.5,1.0,0,2,7,submit_assignment (current),76.94322988324012,15
4,2,0.75,1.0,0,2,7,submit_assignment (current),73.11980066144635,15
4,2,1.0,1.0,0,2,9,submit_quiz (current),69.60433557979184,15
4,3,0.25,1.0,0,1,7,submit_assignment (current),4.054952361287482,6
4,3,0.5,1.0,0,1,10,review_quiz (current),1.3330270613633606,9
4,3,0.75,1.0,0,1,9,submit_quiz (current),5.6126931774097315,5
4,3,0.75,1.0,2,1,2,attempt_quiz (past),1.99107516810553,4
4,3,1.0,1.0,2,1,8,attempt_quiz (current),0.701112804590802,2
4,4,0.25,1.0,0,1,2,attempt_quiz (past),1.7914531471922717,7
4,4,0.25,1.0,0,2,7,submit_assignment (current),42.08566521591938,15
4,0,0.5,1.0,0,1,9,submit_quiz (current),89.71114101757946,15
4,1,0.5,1.0,1,2,7,submit_assignment (current),91.90234239543621,15
4,1,0.75,1.0,1,2,7,submit_assignment (current),86.95238883769892,15
4,2,0.5,1.0,1,2,7,submit_assignment (current),76.3397469521379,15
4,3,0.25,1.0,0,2,7,submit_assignment (current),64.64515835594538,15
4,3,0.5,1.0,0,2,9,submit_quiz (current),55.708341566891576,15
4,3,0.75,1.0,0,2,7,submit_assignment (current),51.14852230316756,15
4,3,1.0,1.0,0,2,7,submit_assignment (current),46.68359576158812,15
4,4,0.5,1.0,1,2,7,submit_assignment (current),28.36100958853879,15
4,4,0.75,1.0,1,2,7,submit_assignment (current),23.440151153289786,15
4,0,0.5,1.0,0,0,9,submit_quiz (current),97.48745149727438,15
4,0,0.75,1.0,0,0,7,submit_assignment (current),93.23395325147264,15
4,1,0.25,1.0,1,1,8,attempt_quiz (current),89.64230994615683,15
4,1,1.0,1.0,0,2,7,submit_assignment (current),85.66755969117187,15
4,2,0.25,1.0,0,2,7,submit_assignment (current),84.41944885525834,15
4,2,1.0,1.0,2,2,7,submit_assignment (current),68.1334540396935,15
4,3,0.75,1.0,2,2,7,submit_assignment (current),50.49836907133514,15
4,3,1.0,1.0,2,2,7,submit_assignment (current),45.65644213771114,15
4,4,0.25,1.0,1,2,7,submit_assignment (current),40.393577271397724,15
4,0,0.75,1.0,0,1,7,submit_assignment (current),97.69835933597078,15
4,0,1.0,1.0,0,1,7,submit_assignment (current),93.92281449705467,15
4,1,0.25,1.0,0,1,7,submit_assignment (current),92.27108551426063,15
4,2,0.75,1.0,2,2,9,submit_quiz (current),68.68909053762007,15
4,0,0.25,0.5,0,0,9,submit_quiz (current),62.16370770768965,15
4,0,0.5,0.75,1,1,9,submit_quiz (current),58.232199906379634,15
4,0,0.75,0.75,1,1,7,submit_assignment (current),70.75997894953052,15
4,0,1.0,1.0,1,2,2,attempt_quiz (past),93.61975061841692,15
4,3,0.25,1.0,1,2,3,review_quiz (past),63.247547027522046,15
4,3,0.5,1.0,1,2,7,submit_assignment (current),57.778965724973254,15
4,3,0.75,1.0,1,2,7,submit_assignment (current),53.02419841286011,15
4,3,1.0,1.0,1,2,9,submit_quiz (current),46.43136841415264,15
4,1,0.5,1.0,0,1,14,post_forum (future),25.652557912093734,12
4,1,1.0,1.0,2,2,7,submit_assignment (current),86.27847572048633,15
4,4,0.5,1.0,0,2,7,submit_assignment (current),27.335102998186763,15
4,0,0.75,1.0,2,1,10,review_quiz (current),83.92510387586596,15
4,2,0.75,1.0,1,2,9,submit_quiz (current),73.54867278744808,15
4,0,1.0,1.0,2,1,7,submit_assignment (current),91.27663312273162,15
4,0,0.5,0.75,0,0,9,submit_quiz (current),91.23867312494065,15
4,2,1.0,1.0,1,2,7,submit_assignment (current),68.78858569091885,15
4,0,0.75,0.75,0,0,9,submit_quiz (current),69.77058845289945,15
4,0,0.5,0.75,0,1,2,attempt_quiz (past),74.02504620022364,15
4,0,0.75,0.75,2,1,7,submit_assignment (current),64.78117450517709,15
4,0,1.0,0.75,0,1,2,attempt_quiz (past),47.888511649797636,14
4,0,0.75,1.0,1,0,7,submit_assignment (current),27.993299793529456,14
4,0,1.0,1.0,2,2,7,submit_assignment (current),94.02332066791357,15
4,0,1.0,0.75,2,1,7,submit_assignment (current),62.625623941555794,15
4,1,0.25,0.75,1,2,9,submit_quiz (current),76.7742679630139,15
4,1,0.5,0.75,1,2,7,submit_assignment (current),57.44181494365714,15
4,1,0.5,0.75,0,2,9,submit_quiz (current),54.1619339658358,15
