Cluster,Progress,Score,Phase,Engagement,Action_ID,Action_Name,Q_Value
4,0.25,1.0,0,1,13,attempt_quiz (future),0.044800000000000006
4,0.25,1.0,0,1,8,attempt_quiz (current),0.4902183749704184
4,0.25,1.0,0,1,6,view_content (current),0.3414760687779317
4,0.25,1.0,0,1,3,review_quiz (past),1.632992274487238
4,0.25,1.0,0,1,5,view_assignment (current),0.2841074128610301
4,0.25,1.0,0,1,10,review_quiz (current),0.9045609016899183
4,0.25,1.0,0,1,2,attempt_quiz (past),1.7914531471922717
4,0.25,1.0,0,2,14,post_forum (future),32.88905375697387
4,0.25,1.0,0,2,4,post_forum (past),33.14829154476499
4,0.25,1.0,0,2,7,submit_assignment (current),42.08566521591938
4,0.25,1.0,0,2,2,attempt_quiz (past),33.551683740378415
4,0.25,1.0,0,2,6,view_content (current),29.51595903621407
4,0.25,1.0,0,2,8,attempt_quiz (current),35.29698059701654
4,0.25,1.0,0,2,11,post_forum (current),31.89774104476437
4,0.25,1.0,0,2,10,review_quiz (current),34.68008995020608
4,0.25,1.0,0,2,5,view_assignment (current),29.943364485154223
4,0.25,1.0,0,2,12,view_content (future),31.784135920340113
4,0.25,1.0,0,2,0,view_assignment (past),29.23245720929541
4,0.25,1.0,0,2,13,attempt_quiz (future),33.38699008872859
4,0.25,1.0,0,2,3,review_quiz (past),33.340098666339145
4,0.25,1.0,0,2,9,submit_quiz (current),36.235538631916725
4,0.25,1.0,0,2,1,view_content (past),29.148533452099734
4,0.5,1.0,1,2,13,attempt_quiz (future),25.029254971626283
4,0.5,1.0,1,2,4,post_forum (past),24.551964547338912
4,0.5,1.0,1,2,3,review_quiz (past),25.32961072662473
4,0.5,1.0,1,2,1,view_content (past),24.062291952731407
4,0.5,1.0,1,2,2,attempt_quiz (past),24.47257183659476
4,0.5,1.0,1,2,14,post_forum (future),23.867915322361366
4,0.5,1.0,1,2,7,submit_assignment (current),28.36100958853879
4,0.5,1.0,1,2,9,submit_quiz (current),26.506776828936026
4,0.5,1.0,1,2,11,post_forum (current),24.261627827155557
4,0.5,1.0,1,2,6,view_content (current),23.18009687625264
4,0.5,1.0,1,2,5,view_assignment (current),21.129323510851787
4,0.5,1.0,1,2,10,review_quiz (current),24.350409937248145
4,0.5,1.0,1,2,0,view_assignment (past),22.365134381300017
4,0.5,1.0,1,2,12,view_content (future),23.19473737661791
4,0.5,1.0,1,2,8,attempt_quiz (current),22.731181700054695
4,0.75,1.0,1,2,7,submit_assignment (current),23.440151153289786
4,0.75,1.0,1,2,10,review_quiz (current),16.40696491865675
4,0.75,1.0,1,2,13,attempt_quiz (future),16.253721819783458
4,0.75,1.0,1,2,5,view_assignment (current),15.760184140545515
4,0.75,1.0,1,2,3,review_quiz (past),18.1809015844172
4,0.75,1.0,1,2,14,post_forum (future),17.133195793119874
4,0.75,1.0,1,2,0,view_assignment (past),14.01605516681553
4,0.75,1.0,1,2,12,view_content (future),15.849751375588005
4,0.75,1.0,1,2,6,view_content (current),15.970172709684016
4,0.75,1.0,1,2,2,attempt_quiz (past),15.29172616364815
4,0.75,1.0,1,2,9,submit_quiz (current),17.77930385979822
4,0.75,1.0,1,2,4,post_forum (past),15.434754317588883
4,0.75,1.0,1,2,8,attempt_quiz (current),16.854744760263877
4,0.75,1.0,1,2,1,view_content (past),15.507103659519103
4,0.75,1.0,1,2,11,post_forum (current),16.541386376952943
4,0.25,1.0,1,2,4,post_forum (past),35.09995953925714
4,0.25,1.0,1,2,0,view_assignment (past),35.94381812595747
4,0.25,1.0,1,2,2,attempt_quiz (past),35.00828233229371
