id,timemodified,userid,courseid,finalgrade,itemtype
344723,1674567497,9260,670,7,course
342513,1673983794,9260,670,5,mod
341632,1673639874,9260,670,7,mod
341298,1674133721,9260,670,9,mod
340611,1673640716,9260,670,9,mod
340525,1673269996,9260,670,7,mod
314224,1672742829,9260,670,10,mod
314223,1672742327,9260,670,10,mod
314222,1672742067,9260,670,10,mod
314221,1672745626,9260,670,7,mod
314220,1672668334,9260,670,10,mod
314219,1672666326,9260,670,10,mod
314218,1672662430,9260,670,3,mod
314217,1672662055,9260,670,6,mod
314216,1672672247,9260,670,10,mod
314215,1672670693,9260,670,10,mod
314214,1672743318,9260,670,7,mod
