id,timecreated,eventname,action,target,userid,courseid,other
9242576,2022-09-07 11:01:26,\core\event\course_viewed,viewed,course,9260,670,
9242796,2022-09-07 11:05:36,\mod_page\event\course_module_viewed,viewed,course_module,9260,670,
9242806,2022-09-07 11:05:45,\mod_page\event\course_module_viewed,viewed,course_module,9260,670,
9252309,2022-09-08 05:13:05,\core\event\course_viewed,viewed,course,9260,670,
9266327,2022-09-09 05:37:10,\core\event\course_viewed,viewed,course,9260,670,
9306767,2022-09-13 09:53:47,\core\event\course_viewed,viewed,course,9260,670,
9330525,2022-09-15 06:04:08,\core\event\course_viewed,viewed,course,9260,670,
9330534,2022-09-15 06:05:04,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
9330535,2022-09-15 06:05:05,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
9330536,2022-09-15 06:05:12,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
9330537,2022-09-15 06:05:13,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
9330538,2022-09-15 06:05:17,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
9330539,2022-09-15 06:05:17,\mod_assign\event\submission_status_viewed,viewed,submission_status,9260,670,{'assignid': '****'}
9330541,2022-09-15 06:05:36,\mod_folder\event\course_module_viewed,viewed,course_module,9260,670,
9330542,2022-09-15 06:05:44,\mod_resource\event\course_module_viewed,viewed,course_module,9260,670,
9330575,2022-09-15 06:11:43,\core\event\course_viewed,viewed,course,9260,670,
9333792,2022-09-15 10:08:58,\core\event\course_viewed,viewed,course,9260,670,
9338470,2022-09-15 14:54:40,\core\event\course_viewed,viewed,course,9260,670,
9348122,2022-09-16 14:23:27,\core\event\course_viewed,viewed,course,9260,670,
9352567,2022-09-17 07:25:45,\core\event\course_viewed,viewed,course,9260,670,
9352802,2022-09-17 07:59:28,\core\event\course_viewed,viewed,course,9260,670,
9352826,2022-09-17 08:00:46,\mod_resource\event\course_module_viewed,viewed,course_module,9260,670,
9352828,2022-09-17 08:01:03,\mod_assign\event\course_module_viewed,viewed,course_module,9260,670,
