id,timemodified,userid,courseid,finalgrade,itemtype
344728,1674567497,8860,670,6,course
344727,1674567497,9227,670,-1,course
344726,1674567497,8609,670,9,course
344725,1674567497,9169,670,8,course
344724,1674567497,9043,670,7,course
344723,1674567497,9260,670,7,course
344719,1674567497,9152,670,8,course
344718,1674567497,9183,670,-1,course
344715,1674567497,8964,670,-1,course
344714,1674567497,9109,670,8,course
344713,1674567497,9220,670,7,course
344711,1674567497,9146,670,7,course
344710,1674567497,9151,670,8,course
344486,1674565040,8860,670,5,mod
344197,1674566051,9227,670,9,mod
344196,1674566021,9227,670,8,mod
344195,1674566333,9227,670,9,mod
343523,1674566261,9183,670,8,mod
343522,1674566196,9183,670,7,mod
343519,1674566134,9183,670,8,mod
343493,1674217553,8860,670,1,mod
343492,1674217553,8860,670,1,mod
343491,1674217553,8860,670,0,mod
343490,1674217370,8860,670,1,mod
343489,1674217370,8860,670,9,mod
343316,1674566373,9146,670,7,mod
343015,1674133777,9146,670,7,mod
343014,1674134147,9146,670,6,mod
343012,1674134027,9146,670,5,mod
343006,1674134366,9146,670,8,mod
342570,1673989139,8670,670,7,mod
342535,1673987933,9152,670,8,mod
342534,1673988575,9169,670,7,mod
342533,1673986140,9220,670,6,mod
342529,1673985541,9109,670,6,mod
342528,1673986492,9151,670,8,mod
342527,1673984650,9227,670,7,mod
342526,1673984964,9146,670,7,mod
342525,1673984235,9043,670,6,mod
342516,1673982570,9183,670,4,mod
342514,1673982216,8609,670,8,mod
342513,1673983794,9260,670,5,mod
342298,1673939560,9043,670,9,mod
342297,1673939560,8609,670,9,mod
342040,1673870751,9146,670,6,mod
342037,1673870698,9146,670,9,mod
342021,1673870631,9146,670,6,mod
341975,1673870541,9043,670,9,mod
341970,1673870141,9146,670,9,mod
341969,1673869944,9043,670,5,mod
341632,1673639874,9260,670,7,mod
341298,1674133721,9260,670,9,mod
341259,1673640822,9109,670,9,mod
341189,1673640822,9152,670,9,mod
341186,1673640822,9169,670,9,mod
340872,1673639874,8609,670,8,mod
340700,1673640716,9220,670,1,mod
340611,1673640716,9260,670,9,mod
340525,1673269996,9260,670,7,mod
340480,1673285982,8964,670,5,mod
340246,1673639546,8964,670,1,mod
340245,1673640024,8964,670,9,mod
