id,timemodified,userid,courseid,finalgrade,itemtype
344915,1674598942,10032,1708,10,course
344914,1674598942,10035,1708,8,course
344913,1674598048,9184,2903,8,course
344912,1674598048,9441,2903,8,course
344911,1674598048,9512,2903,8,course
344910,1674598048,8626,2903,8,course
344909,1674598048,9382,2903,7,course
344908,1674598048,9462,2903,7,course
344907,1674598048,9129,2903,8,course
344906,1674598048,9456,2903,7,course
344905,1674598047,9511,2903,8,course
344904,1674598047,9514,2903,7,course
344903,1674598047,9057,2903,6,course
344902,1674598047,9030,2903,8,course
344901,1674598047,9191,2903,9,course
344900,1674598047,9124,2903,6,course
344899,1674598047,9433,2903,7,course
344898,1674598047,9510,2903,7,course
344897,1674598047,9519,2903,-1,course
344896,1674598047,9042,2903,8,course
344895,1674598047,9515,2903,9,course
344894,1674597179,10011,2050,-1,course
344893,1674597179,10126,2050,-1,course
344892,1674597179,9817,2050,-1,course
344891,1674597178,10050,2050,-1,course
344890,1674595984,6976,2387,7,course
344889,1674595981,6976,2505,9,course
344888,1674595980,6976,2406,7,course
344887,1674593098,9034,2050,5,course
344886,1674593130,9489,2050,-1,course
344885,1674593097,9445,2050,6,course
344884,1674591925,10108,2877,9,course
344883,1674591814,10108,2745,9,course
344882,1674591701,10108,2904,9,course
344881,1674591701,9504,2904,9,course
344880,1674590751,8518,2783,-1,course
344879,1674590788,9073,936,-1,course
344878,1674590462,9137,2705,8,course
344877,1674590462,9105,2705,9,course
344876,1674590462,9174,2705,4,course
344875,1674590462,9188,2705,6,course
344874,1674590462,9093,2705,6,course
344873,1674590462,9153,2705,7,course
344872,1674590462,9128,2705,9,course
344871,1674590462,9038,2705,-1,course
344870,1674590462,9284,2705,7,course
344869,1674590462,9073,2705,-1,course
344868,1674590462,9389,2705,7,course
344867,1674590462,9037,2705,6,course
344866,1674590462,9249,2705,7,course
344865,1674590462,9413,2705,5,course
344864,1674590462,9338,2705,6,course
344863,1674588767,9192,2202,9,course
344862,1674588767,9937,2202,9,course
344861,1674588767,9431,2202,9,course
344860,1674588767,9975,2202,10,course
344859,1674588767,10007,2202,10,course
344858,1674588767,9973,2202,9,course
344857,1674588767,8075,2202,10,course
344856,1674588767,7682,2202,10,course
344855,1674588767,10006,2202,10,course
344854,1674588767,9967,2202,10,course
344853,1674588767,9993,2202,9,course
344852,1674588767,9938,2202,10,course
344851,1674588766,9928,2202,10,course
344850,1674588766,9936,2202,9,course
344849,1674588766,10005,2202,10,course
344848,1674588590,7093,2939,8,course
344847,1674588185,9783,2956,0,mod
344846,1674588210,9783,2956,-1,course
344845,1674588185,9783,2956,0,mod
344844,1674588107,10026,2956,9,mod
344843,1674588210,10026,2956,9,course
344842,1674588107,10026,2956,9,mod
344841,1674588060,9824,2956,10,mod
344840,1674588210,9824,2956,10,course
344839,1674588060,9824,2956,9,mod
344838,1674588002,10122,2956,0,mod
344837,1674588210,10122,2956,-1,course
344836,1674588002,10122,2956,0,mod
344835,1674587964,10117,2956,7,mod
344834,1674588210,10117,2956,8,course
344833,1674587964,10117,2956,8,mod
344832,1674587877,10119,2956,10,mod
344831,1674588210,10119,2956,8,course
344830,1674587877,10119,2956,7,mod
344829,1674586975,9783,2949,0,mod
344828,1674586975,9783,2949,0,mod
344827,1674586975,9783,2949,0,mod
344826,1674587597,9783,2949,-1,course
344825,1674586975,9783,2949,0,mod
344824,1674586745,10026,2949,8,mod
344823,1674586856,10026,2949,7,mod
344822,1674586745,10026,2949,9,mod
344821,1674587532,10026,2949,8,course
344820,1674586745,10026,2949,9,mod
344819,1674586585,9824,2949,8,mod
344818,1674586585,9824,2949,9,mod
344817,1674586585,9824,2949,8,mod
344816,1674587532,9824,2949,9,course
344815,1674586585,9824,2949,10,mod
344814,1674586585,10122,2949,0,mod
344813,1674586585,10122,2949,0,mod
344812,1674586585,10122,2949,0,mod
344811,1674587597,10122,2949,-1,course
344810,1674586585,10122,2949,0,mod
344809,1674586470,10117,2949,9,mod
